game_id,date,time,season,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,goal_diff,total_goals,is_draw,home_win,away_win,attendance,venue,odds_details,odds_over_under,odds_data_quality,shootout,status_completed,status_state,status_description,status_detail,bookmaker,region,snapshot_date,home_price,draw_price,away_price,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds
746994,2026-04-24,12:30,2026,RBL,UBE,3,1,10,4,14,2,4,0,1,0,0,Red Bull Arena,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746981,2026-04-19,11:30,2026,BMG,M05,1,1,0,6,6,0,2,1,0,0,50245,BORUSSIA-PARK,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746983,2026-04-19,09:30,2026,FCB,VFB,4,2,11,3,14,2,6,0,1,0,75000,Allianz Arena,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746985,2026-04-19,07:30,2026,SCF,HDH,2,1,5,4,9,1,3,0,1,0,33800,Europa-Park Stadion,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746982,2026-04-18,10:30,2026,SGE,RBL,1,3,4,6,10,-2,4,0,0,1,58500,Deutsche Bank Park,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746987,2026-04-18,07:30,2026,TSG,BVB,2,1,4,3,7,1,3,0,1,0,30150,PreZero Arena,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746986,2026-04-18,07:30,2026,SVW,HSV,3,1,7,3,10,2,4,0,1,0,40000,Weserstadion,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746980,2026-04-18,07:30,2026,B04,FCA,1,2,11,4,15,-1,3,0,0,1,29282,BayArena,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746979,2026-04-18,07:30,2026,UBE,WOB,1,2,11,4,15,-1,3,0,0,1,22012,Stadion An der Alten Försterei,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746984,2026-04-17,12:30,2026,STP,KOE,1,1,8,5,13,0,2,1,0,0,29546,Millerntor-Stadion,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746972,2026-04-12,11:30,2026,M05,SCF,0,1,6,4,10,-1,1,0,0,1,30000,MEWA ARENA,,0.0,fallback,0,1,post,,,,,,,,,,,
746977,2026-04-12,09:30,2026,VFB,HSV,4,0,8,2,10,4,4,0,1,0,60000,MHPArena,,0.0,fallback,0,1,post,,,,,,,,,,,
746971,2026-04-12,07:30,2026,KOE,SVW,3,1,8,5,13,2,4,0,1,0,50000,RheinEnergieStadion,,0.0,fallback,0,1,post,,,,,,,,,,,
746975,2026-04-11,10:30,2026,STP,FCB,0,5,3,4,7,-5,5,0,0,1,29546,Millerntor-Stadion,,0.0,fallback,0,1,post,,,,,,,,,,,
746978,2026-04-11,07:30,2026,WOB,SGE,1,2,7,7,14,-1,3,0,0,1,26132,Volkswagen Arena,,0.0,fallback,0,1,post,,,,,,,,,,,
746976,2026-04-11,07:30,2026,RBL,BMG,1,0,11,4,15,1,1,0,1,0,47800,Red Bull Arena,,0.0,fallback,0,1,post,,,,,,,,,,,
746973,2026-04-11,07:30,2026,BVB,B04,0,1,5,5,10,-1,1,0,0,1,81365,Signal Iduna Park,,0.0,fallback,0,1,post,,,,,,,,,,,
746970,2026-04-11,07:30,2026,HDH,UBE,3,1,3,5,8,2,4,0,1,0,15000,Voith-Arena,,0.0,fallback,0,1,post,,,,,,,,,,,
746974,2026-04-10,12:30,2026,FCA,TSG,2,2,4,4,8,0,4,1,0,0,28600,WWK Arena,,0.0,fallback,0,1,post,,,,,,,,,,,
746965,2026-04-05,09:30,2026,SGE,KOE,2,2,8,0,8,0,4,1,0,0,59300,Deutsche Bank Park,,0.0,fallback,0,1,post,,,,,,,,,,,
746961,2026-04-05,07:30,2026,UBE,STP,1,1,7,2,9,0,2,1,0,0,22012,Stadion An der Alten Försterei,,0.0,fallback,0,1,post,,,,,,,,,,,
746964,2026-04-04,10:30,2026,VFB,BVB,0,2,5,2,7,-2,2,0,0,1,60000,MHPArena,,0.0,fallback,0,1,post,,,,,,,,,,,
746969,2026-04-04,07:30,2026,HSV,FCA,1,1,8,2,10,0,2,1,0,0,57000,Volksparkstadion,,0.0,fallback,0,1,post,,,,,,,,,,,
746968,2026-04-04,07:30,2026,TSG,M05,1,2,7,3,10,-1,3,0,0,1,30150,PreZero Arena,,0.0,fallback,0,1,post,,,,,,,,,,,
746967,2026-04-04,07:30,2026,SVW,RBL,1,2,1,0,1,-1,3,0,0,1,40000,Weserstadion,,0.0,fallback,0,1,post,,,,,,,,,,,
746966,2026-04-04,07:30,2026,SCF,FCB,2,3,5,8,13,-1,5,0,0,1,34700,Europa-Park Stadion,,0.0,fallback,0,1,post,,,,,,,,,,,
746963,2026-04-04,07:30,2026,BMG,HDH,2,2,2,3,5,0,4,1,0,0,52129,BORUSSIA-PARK,,0.0,fallback,0,1,post,,,,,,,,,,,
746962,2026-04-04,07:30,2026,B04,WOB,6,3,12,2,14,3,9,0,1,0,29619,BayArena,,0.0,fallback,0,1,post,,,,,,,,,,,
746953,2026-03-22,12:30,2026,FCA,VFB,2,5,2,5,7,-3,7,0,0,1,30660,WWK Arena,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-22T10:30:00.000Z,3.3,3.8,2.05,3.3,2.05,2.05
746955,2026-03-22,10:30,2026,STP,SCF,1,2,3,2,5,-1,3,0,0,1,29546,Millerntor-Stadion,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-22T10:30:00.000Z,2.7,3.0,2.8,2.7,2.8,2.7
746958,2026-03-22,08:30,2026,M05,SGE,2,1,5,3,8,1,3,0,1,0,33305,MEWA ARENA,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-22T10:30:00.000Z,2.15,3.5,3.2,2.15,3.2,2.15
746957,2026-03-21,11:30,2026,BVB,HSV,3,2,11,3,14,1,5,0,1,0,81365,Signal Iduna Park,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-21T10:30:00.000Z,1.38,5.1,7.5,1.38,7.5,1.38
746960,2026-03-21,08:30,2026,WOB,SVW,0,1,8,4,12,-1,1,0,0,1,28917,Volkswagen Arena,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-21T10:30:00.000Z,2.4,3.5,2.85,2.4,2.85,2.4
746959,2026-03-21,08:30,2026,KOE,BMG,3,3,5,3,8,0,6,1,0,0,50000,RheinEnergieStadion,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-21T10:30:00.000Z,2.3,3.4,3.1,2.3,3.1,2.3
746954,2026-03-21,08:30,2026,FCB,UBE,4,0,12,1,13,4,4,0,1,0,75000,Allianz Arena,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-21T10:30:00.000Z,1.14,7.5,15.0,1.14,15.0,1.14
746952,2026-03-21,08:30,2026,HDH,B04,3,3,2,5,7,0,6,1,0,0,15000,Voith-Arena,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-21T10:30:00.000Z,5.4,4.4,1.56,5.4,1.56,1.56
746956,2026-03-20,13:30,2026,RBL,TSG,5,0,1,3,4,5,5,0,1,0,40980,Red Bull Arena,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-20T15:30:00.000Z,1.95,4.0,3.5,1.95,3.5,1.95
746948,2026-03-15,12:30,2026,VFB,RBL,1,0,5,6,11,1,1,0,1,0,57500,MHPArena,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-15T10:30:00.000Z,2.45,3.9,2.55,2.45,2.55,2.45
746945,2026-03-15,10:30,2026,SCF,UBE,0,1,6,2,8,-1,1,0,0,1,33200,Europa-Park Stadion,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-15T10:30:00.000Z,2.15,3.3,3.5,2.15,3.5,2.15
746946,2026-03-15,08:30,2026,SVW,M05,0,2,9,4,13,-2,2,0,0,1,41800,Weserstadion,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-15T10:30:00.000Z,2.05,3.5,3.5,2.05,3.5,2.05
746949,2026-03-14,11:30,2026,HSV,KOE,1,1,1,8,9,0,2,1,0,0,57000,Volksparkstadion,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-14T10:30:00.000Z,2.3,3.5,3.0,2.3,3.0,2.3
746951,2026-03-14,08:30,2026,BVB,FCA,2,0,12,2,14,2,2,0,1,0,81365,Signal Iduna Park,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-14T10:30:00.000Z,1.48,4.7,6.0,1.48,6.0,1.48
746950,2026-03-14,08:30,2026,B04,FCB,1,1,4,1,5,0,2,1,0,0,30210,BayArena,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-14T10:30:00.000Z,5.5,4.9,1.51,5.5,1.51,1.51
746947,2026-03-14,08:30,2026,TSG,WOB,1,1,16,4,20,0,2,1,0,0,26252,PreZero Arena,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-14T10:30:00.000Z,1.4,5.0,7.0,1.4,7.0,1.4
746943,2026-03-14,08:30,2026,SGE,HDH,1,0,5,4,9,1,1,0,1,0,58700,Deutsche Bank Park,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-14T10:30:00.000Z,1.54,4.5,5.6,1.54,5.6,1.54
