game_id,date,season,home_team,away_team,home_elo_pre,away_elo_pre,diff_elo,home_rest_days,away_rest_days,diff_rest_days,home_is_b2b,away_is_b2b,diff_is_b2b,home_games_last_3_days,away_games_last_3_days,diff_games_last_3_days,home_games_last_5_days,away_games_last_5_days,diff_games_last_5_days,home_games_last_7_days,away_games_last_7_days,diff_games_last_7_days,home_win_pct_L5,away_win_pct_L5,diff_win_pct_L5,home_win_pct_L10,away_win_pct_L10,diff_win_pct_L10,home_run_diff_L5,away_run_diff_L5,diff_run_diff_L5,home_run_diff_L10,away_run_diff_L10,diff_run_diff_L10,home_runs_scored_L5,away_runs_scored_L5,diff_runs_scored_L5,home_runs_allowed_L5,away_runs_allowed_L5,diff_runs_allowed_L5,home_yrfi_rate_L10,away_yrfi_rate_L10,diff_yrfi_rate_L10,home_r1_scored_rate_L10,away_r1_scored_rate_L10,diff_r1_scored_rate_L10,home_r1_allowed_rate_L10,away_r1_allowed_rate_L10,diff_r1_allowed_rate_L10,home_f5_win_pct_L5,away_f5_win_pct_L5,diff_f5_win_pct_L5,home_f5_diff_L5,away_f5_diff_L5,diff_f5_diff_L5,home_hits_L5,away_hits_L5,diff_hits_L5,home_hits_allowed_L5,away_hits_allowed_L5,diff_hits_allowed_L5,home_home_only_win_pct_L5,away_away_only_win_pct_L5,diff_surface_win_pct_L5,home_home_only_run_diff_L5,away_away_only_run_diff_L5,diff_surface_run_diff_L5,home_home_only_yrfi_rate_L10,away_away_only_yrfi_rate_L10,diff_surface_yrfi_rate_L10,home_home_only_f5_win_pct_L5,away_away_only_f5_win_pct_L5,diff_surface_f5_win_pct_L5,home_win_pct_L10_vs_league,away_win_pct_L10_vs_league,diff_win_pct_L10_vs_league,home_run_diff_L10_vs_league,away_run_diff_L10_vs_league,diff_run_diff_L10_vs_league,home_yrfi_rate_L10_vs_league,away_yrfi_rate_L10_vs_league,diff_yrfi_rate_L10_vs_league,home_f5_win_pct_L5_vs_league,away_f5_win_pct_L5_vs_league,diff_f5_win_pct_L5_vs_league,home_momentum_win,away_momentum_win,diff_momentum_win,home_momentum_run_diff,away_momentum_run_diff,diff_momentum_run_diff,home_surface_edge,away_surface_edge,diff_surface_edge,home_fatigue_index,away_fatigue_index,diff_fatigue_index,home_form_power,away_form_power,diff_form_power,home_is_favorite,odds_over_under,market_missing,TARGET_home_win,TARGET_yrfi,TARGET_home_win_f5
11283,2024-03-10,2024,NCD,KIA,1491.1968103479435,1508.8031896520565,-17.606379304113034,1.0,1.0,0.0,1,1,0,1,1,0,1,1,0,1,1,0,0.0,1.0,-1.0,0.0,1.0,-1.0,-7.0,7.0,-14.0,-7.0,7.0,-14.0,3.0,10.0,-7.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-3.0,3.0,-6.0,6.0,12.0,-6.0,12.0,6.0,6.0,0.0,1.0,-1.0,-7.0,7.0,-14.0,0.0,0.0,0.0,0.0,1.0,-1.0,-0.5,0.5,-1.0,-7.0,7.0,-14.0,-0.4,-0.4,0.0,-0.4,0.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,7.0,-7.0,-1,0.0,0,1,,
11284,2024-03-10,2024,KTW,LG,1491.1968103479435,1508.8031896520565,-17.606379304113034,1.0,1.0,0.0,1,1,0,1,1,0,1,1,0,1,1,0,0.0,1.0,-1.0,0.0,1.0,-1.0,-3.0,3.0,-6.0,-3.0,3.0,-6.0,2.0,5.0,-3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-2.0,7.0,9.0,-2.0,9.0,7.0,2.0,0.0,1.0,-1.0,-3.0,3.0,-6.0,0.0,0.0,0.0,0.0,1.0,-1.0,-0.5,0.5,-1.0,-3.0,3.0,-6.0,-0.4,-0.4,0.0,-0.4,0.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.0,-3.0,-1,0.0,0,1,,
11285,2024-03-10,2024,LOT,SSG,1507.1968103479435,1492.8031896520565,14.393620695886966,1.0,1.0,0.0,1,1,0,1,1,0,1,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,-5.0,10.0,5.0,-5.0,10.0,6.0,1.0,5.0,1.0,6.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-2.0,9.0,9.0,0.0,9.0,9.0,0.0,1.0,0.0,1.0,5.0,-5.0,10.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.5,-0.5,1.0,5.0,-5.0,10.0,-0.4,-0.4,0.0,-0.4,0.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.0,5.0,-1,0.0,0,1,,
11286,2024-03-10,2024,HAN,SAM,1507.1968103479435,1492.8031896520565,14.393620695886966,1.0,1.0,0.0,1,1,0,1,1,0,1,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,-4.0,8.0,4.0,-4.0,8.0,6.0,2.0,4.0,2.0,6.0,-4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,-4.0,8.0,10.0,5.0,5.0,5.0,10.0,-5.0,1.0,0.0,1.0,4.0,-4.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,-0.5,1.0,4.0,-4.0,8.0,0.6,0.6,0.0,0.6,-0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-0.0,4.0,-1,0.0,0,0,,
11287,2024-03-10,2024,DOO,KIW,1507.1968103479435,1492.8031896520565,14.393620695886966,1.0,1.0,0.0,1,1,0,1,1,0,1,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,-4.0,8.0,4.0,-4.0,8.0,12.0,8.0,4.0,8.0,12.0,-4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,2.0,11.0,13.0,-2.0,1.0,0.0,1.0,4.0,-4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,4.0,-4.0,8.0,0.6,0.6,0.0,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-0.0,4.0,-1,0.0,0,1,,
11288,2024-03-11,2024,HAN,KIA,1498.06708104497,1501.2033583122181,-3.1362772672480332,1.0,1.0,0.0,1,1,0,2,2,0,2,2,0,2,2,0,0.5,0.5,0.0,0.5,0.5,0.0,-0.5,2.5,-3.0,-0.5,2.5,-3.0,3.5,7.0,-3.5,4.0,4.5,-0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,2.0,1.5,0.5,5.0,6.0,-1.0,2.5,3.0,-0.5,0.5,0.5,0.0,-0.5,2.5,-3.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,-0.5,2.5,-3.0,0.3,-0.2,0.5,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.25,1.25,-1.5,-1,0.0,0,0,1.0,0.0
11289,2024-03-11,2024,SAM,LG,1501.93291895503,1501.2033583122181,0.729560642811748,1.0,1.0,0.0,1,1,0,2,2,0,2,2,0,2,2,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,-0.5,0.5,1.0,-0.5,4.0,3.5,0.5,3.5,2.5,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,-0.5,-2.0,0.5,-2.5,2.5,4.5,-2.0,5.0,3.5,1.5,0.0,0.5,-0.5,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.5,1.0,-0.5,0.3,-0.2,0.5,-0.2,0.3,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,1.0,1.0,0.0,0.25,0.5,-0.25,-1,0.0,0,0,,
11290,2024-03-11,2024,LOT,DOO,1514.06708104497,1514.06708104497,0.0,1.0,1.0,0.0,1,1,0,2,2,0,2,2,0,2,2,0,1.0,1.0,0.0,1.0,1.0,0.0,6.5,3.0,3.5,6.5,3.0,3.5,9.5,7.5,2.0,3.0,4.5,-1.5,0.0,0.5,-0.5,0.0,0.5,-0.5,0.0,0.5,-0.5,0.0,0.0,0.0,-0.5,0.0,-0.5,4.5,6.5,-2.0,4.5,5.5,-1.0,1.0,0.0,1.0,6.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,6.5,3.0,3.5,-0.2,0.3,-0.5,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,6.5,3.0,3.5,-1,0.0,0,0,,
11291,2024-03-11,2024,KTW,SSG,1498.7966416877819,1485.93291895503,12.863722732751967,1.0,1.0,0.0,1,1,0,2,2,0,2,2,0,2,2,0,0.5,0.0,0.5,0.5,0.0,0.5,-1.0,-6.5,5.5,-1.0,-6.5,5.5,2.5,3.0,-0.5,3.5,9.5,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,0.5,-1.0,3.5,4.5,-1.0,4.5,4.5,0.0,0.5,0.0,0.5,-1.0,-6.5,5.5,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,-0.5,0.5,-1.0,-6.5,5.5,-0.2,-0.2,0.0,-0.2,0.3,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.5,-0.0,-0.5,-1,0.0,0,0,,
11292,2024-03-11,2024,NCD,KIW,1498.7966416877819,1485.93291895503,12.863722732751967,1.0,1.0,0.0,1,1,0,2,2,0,2,2,0,2,2,0,0.5,0.0,0.5,0.5,0.0,0.5,-2.5,-3.0,0.5,-2.5,-3.0,0.5,4.5,4.5,0.0,7.0,7.5,-0.5,0.0,0.5,-0.5,0.0,0.5,-0.5,0.0,0.5,-0.5,0.0,0.0,0.0,-1.5,0.0,-1.5,3.0,5.5,-2.5,6.0,6.5,-0.5,0.5,0.0,0.5,-2.5,-3.0,0.5,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,-0.5,0.5,-2.5,-3.0,0.5,-0.2,0.3,-0.5,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.25,-0.0,-1.25,-1,0.0,0,1,1.0,1.0
