game_id,date,time,season,home_team,away_team,home_runs_total,away_runs_total,home_r1,away_r1,home_r2,away_r2,home_r3,away_r3,home_r4,away_r4,home_r5,away_r5,home_runs_f5,away_runs_f5,attendance,odds_details,odds_over_under,home_is_favorite,home_hits,away_hits,detail_parsed,status_completed,status_state,status_description,status_detail,game_url
13316,2026-04-12,,2026,LG,SSG,9,1,0,0,0,0,2,0,2,0,5,0,9,0,0,N/A,0.0,-1,9,8,1,1,post,Final,SSG Landers 1 : 9 Final LG Twins,https://mykbostats.com/games/13316-SSG-vs-LG-20260412
13315,2026-04-12,,2026,KTW,DOO,6,1,0,0,0,0,1,0,0,0,2,0,3,0,0,N/A,0.0,-1,8,6,1,1,post,Final,Doosan Bears 1 : 6 Final KT Wiz,https://mykbostats.com/games/13315-Doosan-vs-KT-20260412
13314,2026-04-12,,2026,SAM,NCD,9,3,0,0,4,0,0,0,2,0,0,0,6,0,0,N/A,0.0,-1,14,6,1,1,post,Final,NC Dinos 3 : 9 Final Samsung Lions,https://mykbostats.com/games/13314-NC-vs-Samsung-20260412
13313,2026-04-12,,2026,KIW,LOT,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,N/A,0.0,-1,5,6,1,1,post,Final,Lotte Giants 0 : 2 Final Kiwoom Heroes,https://mykbostats.com/games/13313-Lotte-vs-Kiwoom-20260412
13312,2026-04-12,,2026,HAN,KIA,3,9,0,1,0,0,1,0,0,3,1,0,2,4,0,N/A,0.0,-1,8,13,1,1,post,Final,Kia Tigers 9 : 3 Final Hanwha Eagles,https://mykbostats.com/games/13312-Kia-vs-Hanwha-20260412
13311,2026-04-11,,2026,LG,SSG,4,3,0,0,1,1,0,0,0,1,0,0,1,2,0,N/A,0.0,-1,7,13,1,1,post,Final,SSG Landers 3 : 4 Final LG Twins,https://mykbostats.com/games/13311-SSG-vs-LG-20260411
13310,2026-04-11,,2026,KTW,DOO,6,4,0,0,0,0,3,0,1,0,1,0,5,0,0,N/A,0.0,-1,10,8,1,1,post,Final,Doosan Bears 4 : 6 Final KT Wiz,https://mykbostats.com/games/13310-Doosan-vs-KT-20260411
13309,2026-04-11,,2026,SAM,NCD,5,4,0,1,5,0,0,3,0,0,0,0,5,4,0,N/A,0.0,-1,6,7,1,1,post,Final,NC Dinos 4 : 5 Final Samsung Lions,https://mykbostats.com/games/13309-NC-vs-Samsung-20260411
13308,2026-04-11,,2026,KIW,LOT,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,N/A,0.0,-1,5,11,1,1,post,Final,Lotte Giants 3 : 1 Final/10 Kiwoom Heroes,https://mykbostats.com/games/13308-Lotte-vs-Kiwoom-20260411
13307,2026-04-11,,2026,HAN,KIA,5,6,1,0,0,0,2,0,1,0,0,1,4,1,0,N/A,0.0,-1,10,12,1,1,post,Final,Kia Tigers 6 : 5 Final Hanwha Eagles,https://mykbostats.com/games/13307-Kia-vs-Hanwha-20260411
