game_id,date,time,season,home_team,away_team,home_runs_total,away_runs_total,home_r1,away_r1,home_r2,away_r2,home_r3,away_r3,home_r4,away_r4,home_r5,away_r5,home_runs_f5,away_runs_f5,attendance,odds_details,odds_over_under,home_is_favorite,home_hits,away_hits,detail_parsed,status_completed,status_state,status_description,status_detail
13597,2026-06-18,,2026,NCD,HAN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,in,In Progress,Hanwha Eagles 0 : 3 Top 4th NC Dinos
13598,2026-06-18,,2026,DOO,KTW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,in,In Progress,KT Wiz 1 : 0 Top 4th Doosan Bears
13599,2026-06-18,,2026,KIA,LG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,in,In Progress,LG Twins 1 : 0 Bot 3rd Kia Tigers
13600,2026-06-18,,2026,SSG,LOT,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,in,In Progress,Lotte Giants 2 : 1 Top 4th SSG Landers
13601,2026-06-18,,2026,SAM,KIW,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,in,In Progress,Kiwoom Heroes 1 : 1 Bot 3rd Samsung Lions
13602,2026-06-19,18:30,2026,KTW,KIA,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,pre,Scheduled,Kia Tigers 6:30pm Suwon KT Wiz
13603,2026-06-19,18:30,2026,KIW,LOT,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,pre,Scheduled,Lotte Giants 6:30pm Seoul-Gocheok Kiwoom Heroes
13604,2026-06-19,18:30,2026,LG,DOO,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,pre,Scheduled,Doosan Bears 6:30pm Seoul-Jamsil LG Twins
13605,2026-06-19,18:30,2026,NCD,SSG,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,pre,Scheduled,SSG Landers 6:30pm Changwon NC Dinos
13606,2026-06-19,18:30,2026,HAN,SAM,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0,-1,0,0,0,0,pre,Scheduled,Samsung Lions 6:30pm Daejeon Hanwha Eagles
