game_id,date,time,season,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,goal_diff,total_goals,is_draw,home_win,away_win,attendance,venue,odds_details,odds_over_under,odds_data_quality,shootout,status_completed,status_state,status_description,status_detail,bookmaker,region,snapshot_date,home_price,draw_price,away_price,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds
748465,2026-04-22,13:30,2026,BAR,CEL,1,0,5,3,8,1,1,0,1,0,59034,Spotify Camp Nou,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
748472,2026-04-22,12:00,2026,RSO,GET,0,1,6,3,9,-1,1,0,0,1,31464,Reale Arena,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
748466,2026-04-22,11:00,2026,ELC,ATM,3,2,13,3,16,1,5,0,1,0,27587,Estadio Martínez Valero,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
748471,2026-04-21,13:30,2026,RMA,ALA,2,1,9,6,15,1,3,0,1,0,61468,Santiago Bernabéu,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
748467,2026-04-21,13:30,2026,GIR,BET,2,3,3,1,4,-1,5,0,0,1,11934,Estadi Montilivi,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
748469,2026-04-21,11:00,2026,ATH,OSA,1,0,5,4,9,1,1,0,1,0,47500,San Mamés,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
748468,2026-04-21,11:00,2026,MLL,VAL,1,1,7,4,11,0,2,1,0,0,20103,Estadi Mallorca Son Moix,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
748446,2026-04-13,13:00,2026,LEV,GET,1,0,8,2,10,1,1,0,1,0,18155,Estadi Ciutat de València,,0.0,fallback,0,1,post,,,,,,,,,,,
748451,2026-04-12,13:00,2026,ATH,VIL,1,2,15,3,18,-1,3,0,0,1,42891,San Mamés,,0.0,fallback,0,1,post,,,,,,,,,,,
748448,2026-04-12,10:30,2026,CEL,OVI,0,3,4,1,5,-3,3,0,0,1,20360,Balaidos,,0.0,fallback,0,1,post,,,,,,,,,,,
748445,2026-04-12,08:15,2026,MLL,RAY,3,0,6,8,14,3,3,0,1,0,16323,Estadi Mallorca Son Moix,,0.0,fallback,0,1,post,,,,,,,,,,,
748444,2026-04-12,06:00,2026,OSA,BET,1,1,6,3,9,0,2,1,0,0,20080,El Sadar,,0.0,fallback,0,1,post,,,,,,,,,,,
748450,2026-04-11,13:00,2026,SEV,ATM,2,1,6,6,12,1,3,0,1,0,29723,Ramón Sánchez Pizjuán Stadium,,0.0,fallback,0,1,post,,,,,,,,,,,
748449,2026-04-11,10:30,2026,BAR,ESP,4,1,7,5,12,3,5,0,1,0,60736,Spotify Camp Nou,,0.0,fallback,0,1,post,,,,,,,,,,,
748447,2026-04-11,08:15,2026,ELC,VAL,1,0,5,9,14,1,1,0,1,0,27795,Estadio Martínez Valero,,0.0,fallback,0,1,post,,,,,,,,,,,
748452,2026-04-11,06:00,2026,RSO,ALA,3,3,9,5,14,0,6,1,0,0,31024,Reale Arena,,0.0,fallback,0,1,post,,,,,,,,,,,
748453,2026-04-10,13:00,2026,RMA,GIR,1,1,10,1,11,0,2,1,0,0,70885,Santiago Bernabéu,,0.0,fallback,0,1,post,,,,,,,,,,,
748436,2026-04-06,13:00,2026,GIR,VIL,1,0,7,4,11,1,1,0,1,0,12008,Estadi Montilivi,,0.0,fallback,0,1,post,,,,,,,,,,,
748438,2026-04-05,13:00,2026,ALA,OSA,2,2,7,1,8,0,4,1,0,0,17736,Mendizorrotza,,0.0,fallback,0,1,post,,,,,,,,,,,
748441,2026-04-05,10:30,2026,OVI,SEV,1,0,5,9,14,1,1,0,1,0,24921,Estadio Carlos Tartiere,,0.0,fallback,0,1,post,,,,,,,,,,,
748440,2026-04-05,08:15,2026,VAL,CEL,2,3,6,0,6,-1,5,0,0,1,43764,Mestalla Stadium,,0.0,fallback,0,1,post,,,,,,,,,,,
748435,2026-04-05,06:00,2026,GET,ATH,2,0,4,3,7,2,2,0,1,0,7749,Estadio Coliseum,,0.0,fallback,0,1,post,,,,,,,,,,,
748434,2026-04-04,13:00,2026,ATM,BAR,1,2,1,9,10,-1,3,0,0,1,67710,Riyadh Air Metropolitano,,0.0,fallback,0,1,post,,,,,,,,,,,
748439,2026-04-04,10:30,2026,BET,ESP,0,0,4,3,7,0,0,1,0,0,54444,Estadio La Cartuja,,0.0,fallback,0,1,post,,,,,,,,,,,
748437,2026-04-04,08:15,2026,MLL,RMA,2,1,6,5,11,1,3,0,1,0,23015,Estadi Mallorca Son Moix,,0.0,fallback,0,1,post,,,,,,,,,,,
748442,2026-04-04,06:00,2026,RSO,LEV,2,0,11,5,16,2,2,0,1,0,27000,Reale Arena,,0.0,fallback,0,1,post,,,,,,,,,,,
748443,2026-04-03,13:00,2026,RAY,ELC,1,0,9,4,13,1,1,0,1,0,11182,Estadio de Vallecas,,0.0,fallback,0,1,post,,,,,,,,,,,
748433,2026-03-22,14:00,2026,RMA,ATM,3,2,4,1,5,1,5,0,1,0,77964,Santiago Bernabéu,,0.0,fallback,0,1,post,,,BetRivers,us,2026-03-22T09:00:00.000Z,1.8,3.95,3.85,1.8,3.85,1.8
748424,2026-03-22,11:30,2026,ATH,BET,2,1,6,5,11,1,3,0,1,0,47723,San Mamés,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-22T09:00:00.000Z,2.15,3.4,3.3,2.15,3.3,2.15
748431,2026-03-22,09:15,2026,CEL,ALA,3,4,4,1,5,-1,7,0,0,1,20260,Balaidos,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-22T09:00:00.000Z,1.91,3.2,4.4,1.91,4.4,1.91
748432,2026-03-22,07:00,2026,BAR,RAY,1,0,6,9,15,1,1,0,1,0,56812,Spotify Camp Nou,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-22T09:00:00.000Z,1.21,7.0,10.0,1.21,10.0,1.21
748428,2026-03-21,14:00,2026,SEV,VAL,0,2,1,3,4,-2,2,0,0,1,35031,Ramón Sánchez Pizjuán Stadium,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-21T09:00:00.000Z,2.25,3.1,3.4,2.25,3.4,2.25
748427,2026-03-21,11:30,2026,OSA,GIR,1,0,6,2,8,1,1,0,1,0,20975,El Sadar,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-21T09:00:00.000Z,2.05,3.6,3.5,2.05,3.5,2.05
