game_id,date,season,home_team,away_team,home_ppg_l5,away_ppg_l5,diff_ppg_l5,home_gf_l5,away_gf_l5,diff_gf_l5,home_gd_l5,away_gd_l5,diff_gd_l5,home_goals_total_l5,away_goals_total_l5,combined_goals_l5,home_momentum,away_momentum,diff_momentum,home_consistency,away_consistency,diff_consistency,home_form_l10,away_form_l10,diff_form_l10,home_form_l3,away_form_l3,diff_form_l3,home_ppg_l15,away_ppg_l15,diff_ppg_l15,home_gf_l10,away_gf_l10,diff_gf_l10,home_ga_l10,away_ga_l10,diff_ga_l10,home_gf_volatility,away_gf_volatility,home_ga_volatility,away_ga_volatility,home_early_scoring,away_early_scoring,home_late_scoring,away_late_scoring,h2h_home_wins,h2h_draws,h2h_home_losses,h2h_home_gf,h2h_home_ga,h2h_home_gd,home_score,away_score,is_draw,total_goals,TARGET_full_game,TARGET_over_25,TARGET_btts
725051,2025-01-16,2025,AME,TIJ,3.0,0.0,3.0,1.0,2.0,-1.0,1.0,-2.0,3.0,1.0,6.0,7.0,0.0,0.0,0.0,0.5,0.5,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,-1.0,0.0,4.0,-4.0,0.5,0.5,0.5,0.5,0.0,0.6,0.0,0.4,0,0,0,0.0,0.0,0.0,1,1,1,2,2,0,1
725052,2025-01-17,2025,PUE,ASL,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-2.0,2.0,2.0,4.0,6.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,-2.0,0.5,0.5,0.5,0.5,0.0,0.6,0.0,0.4,0,0,0,0.0,0.0,0.0,1,2,0,3,0,1,1
725053,2025-01-17,2025,NEC,GDL,0.0,3.0,-3.0,1.0,1.0,0.0,-1.0,1.0,-2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,0.0,3.0,-3.0,1.0,1.0,0.0,2.0,0.0,2.0,0.5,0.5,0.5,0.5,0.6,0.0,0.4,0.0,0,0,0,0.0,0.0,0.0,3,2,0,5,1,1,1
725054,2025-01-17,2025,UANL,MAZ,3.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,0.5,0.5,0.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.6,0.0,0.4,0.0,0,0,0,0.0,0.0,0.0,2,1,0,3,1,1,1
725055,2025-01-18,2025,TOL,MTY,3.0,1.0,2.0,4.0,1.0,3.0,2.0,0.0,2.0,6.0,2.0,8.0,0.0,0.0,0.0,0.5,0.5,0.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.6,0.0,0.4,0.0,0,0,0,0.0,0.0,0.0,1,1,1,2,2,0,1
725057,2025-01-18,2025,JUA,CAZ,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,0,1,1,0,0
725058,2025-01-19,2025,QRO,PUM,0.0,3.0,-3.0,0.0,2.0,-2.0,-1.0,1.0,-2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,0.0,3.0,-3.0,0.0,2.0,-2.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.6,0.0,0.4,0,0,0,0.0,0.0,0.0,3,2,0,5,1,1,1
725060,2025-01-24,2025,ASL,NEC,1.5,1.5,0.0,1.5,2.0,-0.5,-0.5,0.0,-0.5,3.5,4.0,7.5,2.0,2.0,0.0,0.29289321881345254,0.29289321881345254,0.0,3.0,3.0,0.0,3.0,3.0,0.0,1.5,1.5,0.0,1.5,2.0,-0.5,2.0,2.0,0.0,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.0,0.6,0.6,0.4,0.4,0,0,0,0.0,0.0,0.0,0,3,0,3,0,1,0
725061,2025-01-24,2025,TIJ,QRO,0.5,1.5,-1.0,1.5,1.5,0.0,-1.0,0.0,-1.0,4.0,3.0,7.0,0.6666666666666666,2.0,-1.3333333333333335,0.7642977396044841,0.29289321881345254,0.47140452079103157,1.0,3.0,-2.0,1.0,3.0,-2.0,0.5,1.5,-1.0,1.5,1.5,0.0,2.5,1.5,1.0,0.7071067811865476,2.1213203435596424,2.1213203435596424,0.7071067811865476,0.3,0.3,0.2,0.2,0,0,0,0.0,0.0,0.0,2,1,0,3,1,1,1
725062,2025-01-24,2025,MAZ,TOL,0.5,2.0,-1.5,1.0,2.5,-1.5,-0.5,1.0,-1.5,2.5,4.0,6.5,0.3333333333333333,1.6666666666666667,-1.3333333333333335,0.7642977396044841,0.5285954792089682,0.2357022603955159,1.0,4.0,-3.0,1.0,4.0,-3.0,0.5,2.0,-1.5,1.0,2.5,-1.5,1.5,1.5,0.0,0.0,2.1213203435596424,0.7071067811865476,0.7071067811865476,0.3,0.3,0.2,0.2,0,0,0,0.0,0.0,0.0,2,1,0,3,1,1,1
725063,2025-01-25,2025,CAZ,PUE,0.5,0.5,0.0,0.5,1.0,-0.5,-0.5,-0.5,0.0,1.5,2.5,4.0,0.3333333333333333,0.3333333333333333,0.0,0.7642977396044841,0.7642977396044841,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,1.0,-0.5,1.0,1.5,-0.5,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.3,0.0,0.2,0,0,0,0.0,0.0,0.0,1,1,1,2,2,0,1
725064,2025-01-25,2025,LEO,JUA,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,3.0,1.5,4.5,0.0,2.3333333333333335,-2.3333333333333335,0.5,0.5285954792089682,-0.02859547920896821,3.0,4.0,-1.0,3.0,4.0,-1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.7071067811865476,0.6,0.0,0.4,0.0,0,0,0,0.0,0.0,0.0,1,0,0,1,1,0,0
725065,2025-01-25,2025,MTY,PAC,1.0,3.0,-2.0,1.0,2.0,-1.0,0.0,1.0,-1.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,0.5,0.5,2.0,3.0,-1.0,2.0,3.0,-1.0,1.0,3.0,-2.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.6,0.0,0.4,0,0,0,0.0,0.0,0.0,2,3,0,5,0,1,1
725066,2025-01-25,2025,GDL,UANL,1.5,3.0,-1.5,1.5,2.5,-1.0,0.0,1.5,-1.5,3.0,3.5,6.5,1.0,3.0,-2.0,0.29289321881345254,1.0,-0.7071067811865475,3.0,6.0,-3.0,3.0,6.0,-3.0,1.5,3.0,-1.5,1.5,2.5,-1.0,1.5,1.0,0.5,0.7071067811865476,0.7071067811865476,2.1213203435596424,0.0,0.3,0.6,0.2,0.4,0,0,0,0.0,0.0,0.0,1,1,1,2,2,0,1
725067,2025-01-25,2025,SAN,AME,0.0,2.0,-2.0,0.5,1.0,-0.5,-1.0,0.5,-1.5,2.0,1.5,3.5,0.0,1.6666666666666667,-1.6666666666666667,1.0,0.5285954792089682,0.4714045207910318,0.0,4.0,-4.0,0.0,4.0,-4.0,0.0,2.0,-2.0,0.5,1.0,-0.5,1.5,0.5,1.0,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,0.3,0.0,0.2,0.0,0,0,0,0.0,0.0,0.0,1,4,0,5,0,1,1
725068,2025-01-26,2025,PUM,ATS,1.5,0.5,1.0,2.0,1.0,1.0,0.0,-0.5,0.5,4.0,2.5,6.5,1.0,0.3333333333333333,0.6666666666666667,0.29289321881345254,0.7642977396044841,-0.47140452079103157,3.0,1.0,2.0,3.0,1.0,2.0,1.5,0.5,1.0,2.0,1.0,1.0,2.0,1.5,0.5,0.0,0.0,1.4142135623730951,0.7071067811865476,0.6,0.3,0.4,0.2,0,0,0,0.0,0.0,0.0,0,0,1,0,2,0,0
725069,2025-01-28,2025,AME,ASL,2.3333333333333335,1.0,1.3333333333333335,2.0,1.0,1.0,1.3333333333333333,-1.3333333333333333,2.6666666666666665,2.6666666666666665,3.3333333333333335,6.0,2.3333333333333335,1.0,1.3333333333333335,0.6150998205402496,0.42264973081037427,0.19245008972987532,7.0,3.0,4.0,7.0,3.0,4.0,2.3333333333333335,1.0,1.3333333333333335,2.0,1.0,1.0,0.6666666666666666,2.3333333333333335,-1.666666666666667,1.7320508075688772,1.0,0.5773502691896258,1.1547005383792515,0.19999999999999998,0.6,0.13333333333333333,0.4,0,0,0,0.0,0.0,0.0,3,0,0,3,1,1,0
725070,2025-01-28,2025,PUE,MAZ,0.6666666666666666,1.3333333333333333,-0.6666666666666666,1.0,1.3333333333333333,-0.33333333333333326,-0.3333333333333333,0.0,-0.3333333333333333,2.3333333333333335,2.6666666666666665,5.0,0.6666666666666666,1.5555555555555556,-0.888888888888889,0.8075499102701247,0.4908249227826844,0.31672498748744027,2.0,4.0,-2.0,2.0,4.0,-2.0,0.6666666666666666,1.3333333333333333,-0.6666666666666666,1.0,1.3333333333333333,-0.33333333333333326,1.3333333333333333,1.3333333333333333,0.0,0.0,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.19999999999999998,0.39999999999999997,0.13333333333333333,0.26666666666666666,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,0
