game_id,date,time,season,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,goal_diff,total_goals,is_draw,home_win,away_win,attendance,venue,odds_details,odds_over_under,odds_data_quality,shootout,status_completed,status_state,status_description,status_detail,home_ht_score,away_ht_score,total_ht_goals,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,bookmaker,region,snapshot_date,home_price,draw_price,away_price
401840942,2026-04-17,19:00,2026,ASL,PUM,0,2,8,1,9,-2,2,0,0,1,0,Estadio Libertad Financiera,N/A,2.5,real,0,1,post,,,0.0,1.0,1.0,135.0,170.0,135.0,125.0,-145.0,,,,,,
401840941,2026-04-17,19:00,2026,MAZ,QRO,1,1,7,9,16,0,2,1,0,0,0,Estadio El Encanto,N/A,2.5,real,0,1,post,,,1.0,1.0,2.0,145.0,160.0,145.0,130.0,-135.0,,,,,,
401840940,2026-04-12,19:00,2026,TOL,ASL,1,1,3,1,4,0,2,1,0,0,27272,Estadio Nemesio Díez Riega,N/A,3.5,real,0,1,post,,,0.0,0.0,0.0,-285.0,650.0,-285.0,-110.0,120.0,,,,,,
401840939,2026-04-12,12:00,2026,PUM,MAZ,3,1,8,6,14,2,4,0,1,0,25820,Estadio Olímpico Universitario,N/A,2.5,real,0,1,post,,,2.0,1.0,3.0,-230.0,500.0,-230.0,110.0,-185.0,,,,,,
401840938,2026-04-11,21:05,2026,AME,CAZ,1,1,8,4,12,0,2,1,0,0,46884,Estadio Banorte,N/A,2.5,real,0,1,post,,,1.0,1.0,2.0,135.0,190.0,135.0,120.0,-125.0,,,,,,
401840937,2026-04-11,19:00,2026,ATS,MTY,0,0,6,4,10,0,0,1,0,0,19217,Estadio Jalisco,N/A,2.5,real,0,1,post,,,0.0,0.0,0.0,200.0,125.0,125.0,-165.0,-120.0,,,,,,
401840936,2026-04-11,19:00,2026,PAC,SAN,4,2,4,1,5,2,6,0,1,0,9365,Estadio Hidalgo,N/A,3.5,real,0,1,post,,,2.0,1.0,3.0,-250.0,550.0,-250.0,100.0,110.0,,,,,,
401840935,2026-04-11,17:00,2026,UANL,GDL,4,1,0,7,7,3,5,0,1,0,41615,Estadio Universitario,N/A,2.5,real,0,1,post,,,2.0,1.0,3.0,160.0,155.0,155.0,-210.0,-125.0,,,,,,
401840934,2026-04-11,17:00,2026,QRO,NEC,3,1,4,5,9,2,4,0,1,0,9633,Estadio Corregidora,N/A,2.5,real,0,1,post,,,2.0,0.0,2.0,145.0,175.0,145.0,130.0,-125.0,,,,,,
401840933,2026-04-10,21:06,2026,JUA,TIJ,1,2,5,9,14,-1,3,0,0,1,8752,Estadio Olímpico Benito Juárez,N/A,2.5,real,0,1,post,,,0.0,1.0,1.0,-130.0,340.0,-130.0,-145.0,-130.0,,,,,,
401840932,2026-04-10,19:00,2026,PUE,LEO,0,1,7,8,15,-1,1,0,0,1,11503,Estadio Cuauhtémoc,N/A,2.5,real,0,1,post,,,0.0,0.0,0.0,135.0,185.0,135.0,125.0,-135.0,,,,,,
401840876,2026-04-07,18:00,2026,QRO,JUA,1,1,9,6,15,0,2,1,0,0,0,Estadio Corregidora,N/A,,real,0,1,post,,,0.0,0.0,0.0,2.8,2.35,2.35,,,,,,,,
401840931,2026-04-05,20:07,2026,GDL,PUM,2,2,8,1,9,0,4,1,0,0,40907,Estadio Akron,,,real,0,1,post,,,0.0,2.0,2.0,1.42,6.0,1.42,,,,,,,,
401840929,2026-04-04,21:10,2026,SAN,AME,1,1,3,4,7,0,2,1,0,0,23258,Estadio Corona,,,real,0,1,post,,,0.0,0.0,0.0,5.1,1.59,1.59,,,,,,,,
401840927,2026-04-04,19:05,2026,CAZ,PAC,1,2,8,4,12,-1,3,0,0,1,14726,Estadio Cuauhtémoc,,,real,0,1,post,,,1.0,1.0,2.0,1.83,3.9,1.83,,,,,,,,
401840928,2026-04-04,19:00,2026,LEO,ATS,2,0,10,3,13,2,2,0,1,0,22437,Estadio León,,,real,0,1,post,,,1.0,0.0,1.0,2.25,2.9,2.25,,,,,,,,
401840930,2026-04-04,17:00,2026,QRO,TOL,1,0,3,7,10,1,1,0,1,0,21363,Estadio Corregidora,,,real,0,1,post,,,0.0,0.0,0.0,5.5,1.53,1.53,,,,,,,,
401840926,2026-04-04,17:00,2026,MTY,ASL,1,2,4,9,13,-1,3,0,0,1,41467,Estadio BBVA,,,real,0,1,post,,,1.0,0.0,1.0,1.56,5.25,1.56,,,,,,,,
401840925,2026-04-03,21:06,2026,TIJ,UANL,1,0,1,7,8,1,1,0,1,0,21533,Estadio Caliente,,,real,0,1,post,,,1.0,0.0,1.0,4.2,1.8,1.8,,,,,,,,
401840924,2026-04-03,21:00,2026,NEC,MAZ,2,1,7,4,11,1,3,0,1,0,16632,Estadio Victoria,,,real,0,1,post,,,1.0,1.0,2.0,1.62,4.75,1.62,,,,,,,,
401840923,2026-04-03,19:00,2026,PUE,JUA,1,1,8,9,17,0,2,1,0,0,14344,Estadio Cuauhtémoc,,,real,0,1,post,,,0.0,0.0,0.0,2.6,2.45,2.45,,,,,,,,
401840922,2026-03-22,19:06,2026,JUA,UANL,2,1,7,3,10,1,3,0,1,0,11511,Estadio Olímpico Benito Juárez,,,real,0,1,post,,,1.0,1.0,2.0,3.3,2.08,2.08,,,BetRivers,us,2026-03-22T19:00:00.000Z,3.3,3.4,2.08
401840921,2026-03-22,17:00,2026,SAN,PUE,2,1,11,4,15,1,3,0,1,0,10821,Estadio Corona,,,real,0,1,post,,,0.0,0.0,0.0,2.48,2.55,2.48,,,BetRivers,us,2026-03-22T19:00:00.000Z,2.48,3.5,2.55
401840917,2026-03-22,17:00,2026,PAC,TOL,1,1,9,1,10,0,2,1,0,0,18509,Estadio Hidalgo,,,real,0,1,post,,,0.0,1.0,1.0,3.6,1.89,1.89,,,BetRivers,us,2026-03-22T19:00:00.000Z,3.6,3.65,1.89
401840920,2026-03-21,21:10,2026,PUM,AME,1,0,2,4,6,1,1,0,1,0,42610,Estadio Olímpico Universitario,,,real,0,1,post,,,0.0,0.0,0.0,2.95,2.28,2.28,,,BetRivers,us,2026-03-21T19:00:00.000Z,2.95,3.3,2.28
401840919,2026-03-21,19:05,2026,MTY,GDL,2,3,9,4,13,-1,5,0,0,1,48853,Estadio BBVA,,,real,0,1,post,,,0.0,1.0,1.0,3.15,2.12,2.12,,,BetRivers,us,2026-03-21T19:00:00.000Z,3.15,3.4,2.12
