game_id,date,time,home_team,away_team,odds_data_quality,odds_over_under,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,snapshot_ts
401840932,2026-04-10,19:00,PUE,LEO,real,2.5,135.0,185.0,135.0,125.0,-135.0,2026-04-10T20:49:27Z
401840933,2026-04-10,21:06,JUA,TIJ,real,2.5,-130.0,340.0,-130.0,-145.0,-130.0,2026-04-10T20:49:27Z
401840934,2026-04-11,17:00,QRO,NEC,real,2.5,145.0,175.0,145.0,130.0,-125.0,2026-04-10T20:49:27Z
401840935,2026-04-11,17:00,UANL,GDL,real,2.5,160.0,155.0,155.0,-210.0,-125.0,2026-04-10T20:49:27Z
401840936,2026-04-11,19:00,PAC,SAN,real,3.5,-250.0,550.0,-250.0,100.0,110.0,2026-04-10T20:49:27Z
401840937,2026-04-11,19:00,ATS,MTY,real,2.5,200.0,125.0,125.0,-165.0,-120.0,2026-04-10T20:49:27Z
401840938,2026-04-11,21:05,AME,CAZ,real,2.5,135.0,190.0,135.0,120.0,-125.0,2026-04-10T20:49:27Z
401840939,2026-04-12,12:00,PUM,MAZ,real,2.5,-230.0,500.0,-230.0,110.0,-185.0,2026-04-10T20:49:27Z
401840940,2026-04-12,19:00,TOL,ASL,real,3.5,-285.0,650.0,-285.0,-110.0,120.0,2026-04-10T20:49:27Z
401840941,2026-04-17,19:00,MAZ,QRO,fallback,0.0,2.2,3.1,2.2,,,2026-04-10T20:49:27Z
401840942,2026-04-17,19:00,ASL,PUM,fallback,0.0,2.8,2.35,2.35,,,2026-04-10T20:49:27Z
401840944,2026-04-18,17:00,CAZ,TIJ,fallback,0.0,1.42,6.0,1.42,,,2026-04-10T20:49:27Z
401840945,2026-04-18,19:07,GDL,PUE,fallback,0.0,1.24,9.0,1.24,,,2026-04-10T20:49:27Z
401840946,2026-04-18,19:00,MTY,PAC,fallback,0.0,2.2,3.0,2.2,,,2026-04-10T20:49:27Z
401840947,2026-04-18,21:00,LEO,JUA,fallback,0.0,2.2,2.9,2.2,,,2026-04-10T20:49:27Z
401840948,2026-04-18,21:00,AME,TOL,fallback,0.0,2.55,2.7,2.55,,,2026-04-10T20:49:27Z
401840949,2026-04-19,17:00,SAN,ATS,fallback,0.0,2.8,2.35,2.35,,,2026-04-10T20:49:27Z
