game_id,date,time,season,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,goal_diff,total_goals,is_draw,home_win,away_win,attendance,venue,odds_details,odds_over_under,odds_data_quality,shootout,status_completed,status_state,status_description,status_detail,bookmaker,region,snapshot_date,home_price,draw_price,away_price,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds
746670,2026-04-10,11:00,2026,PSG,ASM,4,1,1,11,12,3,5,0,1,0,0,Stade Jean Bouin,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746661,2026-04-05,12:45,2026,ASM,OM,2,1,0,8,8,1,3,0,1,0,10495,Stade Louis II,N/A,0.0,fallback,0,1,post,,,FanDuel,us,2026-04-05T09:00:00.000Z,2.1,3.6,3.2,2.1,3.2,2.1
746663,2026-04-05,09:15,2026,FCL,PSG,1,1,5,6,11,0,2,1,0,0,16211,Stade du Moustoir - Yves Allainmat,N/A,0.0,fallback,0,1,post,,,,,,,,,,,
746660,2026-04-05,09:15,2026,FCM,FCN,0,0,6,3,9,0,0,1,0,0,20591,Stade Saint-Symphorien,N/A,0.0,fallback,0,1,post,,,FanDuel,us,2026-04-05T09:00:00.000Z,3.0,3.2,2.4,3.0,2.4,2.4
746657,2026-04-05,09:15,2026,HAC,AJA,1,1,5,5,10,0,2,1,0,0,21053,Stade Océane,N/A,0.0,fallback,0,1,post,,,FanDuel,us,2026-04-05T09:00:00.000Z,2.45,3.0,3.1,2.45,3.1,2.45
746655,2026-04-05,07:00,2026,SCO,OL,0,0,3,7,10,0,0,1,0,0,14674,Stade Raymond Kopa,N/A,0.0,fallback,0,1,post,,,FanDuel,us,2026-04-05T09:00:00.000Z,5.3,3.7,1.69,5.3,1.69,1.69
746659,2026-04-04,13:05,2026,LOSC,RCL,3,0,3,3,6,3,3,0,1,0,48491,Decathlon Arena - Stade Pierre-Mauroy,,0.0,fallback,0,1,post,,,FanDuel,us,2026-04-04T11:00:00.000Z,2.9,3.3,2.45,2.9,2.45,2.45
746656,2026-04-04,11:00,2026,SB29,REN,3,4,3,7,10,-1,7,0,0,1,15031,Stade Francis-Le Blé,,0.0,fallback,0,1,post,,,FanDuel,us,2026-04-04T11:00:00.000Z,3.0,3.5,2.3,3.0,2.3,2.3
746658,2026-04-04,09:00,2026,RCSA,OGCN,3,1,4,10,14,2,4,0,1,0,29000,Stade de la Meinau,,0.0,fallback,0,1,post,,,FanDuel,us,2026-04-04T11:00:00.000Z,1.91,3.6,3.9,1.91,3.9,1.91
746662,2026-04-03,12:45,2026,PSG,TFC,3,1,5,2,7,2,4,0,1,0,47710,Parc des Princes,,0.0,fallback,0,1,post,,,FanDuel,us,2026-04-03T14:45:00.000Z,1.25,6.0,10.0,1.25,10.0,1.25
746650,2026-03-22,13:45,2026,FCN,RCSA,2,3,3,6,9,-1,5,0,0,1,21878,Stade de la Beaujoire,,0.0,fallback,0,1,post,,,Fanatics,us,2026-03-22T10:00:00.000Z,3.6,3.5,2.0,3.6,2.0,2.0
746653,2026-03-22,10:15,2026,REN,FCM,0,0,8,2,10,0,0,1,0,0,28206,Roazhon Park,,0.0,fallback,0,1,post,,,BetMGM,us,2026-03-22T10:00:00.000Z,1.33,5.5,8.5,1.33,8.5,1.33
746652,2026-03-22,10:15,2026,PSG,HAC,3,2,9,5,14,1,5,0,1,0,15612,Stade Jean Bouin,,0.0,fallback,0,1,post,,,,,,,,,,,
746649,2026-03-22,10:15,2026,OM,LOSC,1,2,6,4,10,-1,3,0,0,1,59865,Stade Vélodrome,,0.0,fallback,0,1,post,,,BetMGM,us,2026-03-22T10:00:00.000Z,1.87,3.75,3.8,1.87,3.8,1.87
746648,2026-03-22,08:00,2026,OL,ASM,1,2,2,6,8,-1,3,0,0,1,56039,Groupama Stadium,,0.0,fallback,0,1,post,,,BetMGM,us,2026-03-22T10:00:00.000Z,2.8,3.4,2.45,2.8,2.45,2.45
746651,2026-03-21,14:05,2026,OGCN,PSG,0,4,2,5,7,-4,4,0,0,1,28815,Allianz Riviera,,0.0,fallback,0,1,post,,,BetMGM,us,2026-03-21T12:00:00.000Z,5.75,4.8,1.5,5.75,1.5,1.5
746646,2026-03-21,12:00,2026,AJA,SB29,3,0,6,3,9,3,3,0,1,0,15336,Stade de l'Abbé-Deschamps,,0.0,fallback,0,1,post,,,Fanatics,us,2026-03-21T12:00:00.000Z,2.35,3.2,3.2,2.35,3.2,2.35
746654,2026-03-21,10:00,2026,TFC,FCL,1,0,1,4,5,1,1,0,1,0,23011,Stadium Municipal de Toulouse,,0.0,fallback,0,1,post,,,BetMGM,us,2026-03-21T12:00:00.000Z,1.87,3.3,4.5,1.87,4.5,1.87
746647,2026-03-20,13:45,2026,RCL,SCO,5,1,7,3,10,4,6,0,1,0,37303,Stade Bollaert-Delelis,,0.0,fallback,0,1,post,,,Fanatics,us,2026-03-20T15:45:00.000Z,1.2,6.5,13.0,1.2,13.0,1.2
746644,2026-03-15,13:45,2026,REN,LOSC,1,2,5,2,7,-1,3,0,0,1,28219,Roazhon Park,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-15T10:00:00.000Z,2.2,3.4,3.2,2.2,3.2,2.2
746641,2026-03-15,10:15,2026,FCM,TFC,3,4,4,4,8,-1,7,0,0,1,19760,Stade Saint-Symphorien,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-15T10:00:00.000Z,4.0,3.3,1.95,4.0,1.95,1.95
746638,2026-03-15,10:15,2026,HAC,OL,0,0,2,2,4,0,0,1,0,0,22264,Stade Océane,,0.0,fallback,0,1,post,,,FanDuel,us,2026-03-15T10:00:00.000Z,3.8,3.4,2.05,3.8,2.05,2.05
746645,2026-03-15,08:00,2026,RCSA,PSG,0,0,12,4,16,0,0,1,0,0,29865,Stade de la Meinau,,0.0,fallback,0,1,post,,,,,,,,,,,
