game_id,date,time,season,home_team,away_team,home_starting_pitcher,away_starting_pitcher,home_starting_pitcher_id,away_starting_pitcher_id,pitcher_source,pitcher_data_available,home_runs_total,away_runs_total,home_r1,away_r1,home_r2,away_r2,home_r3,away_r3,home_r4,away_r4,home_r5,away_r5,home_runs_f5,away_runs_f5,attendance,odds_details,odds_over_under,odds_data_quality,home_is_favorite,home_hits,away_hits,status_completed,status_state,status_description,status_detail,home_starting_pitcher_ip,away_starting_pitcher_ip,home_starting_pitcher_er,away_starting_pitcher_er,home_starting_pitcher_hits,away_starting_pitcher_hits,home_starting_pitcher_bb,away_starting_pitcher_bb,home_starting_pitcher_k,away_starting_pitcher_k,home_starting_pitcher_hr,away_starting_pitcher_hr,pitcher_stats_available,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,market_source,competition_id
809656,2025-04-17,19:00,2025,MEX,YUC,Arturo Lopez,Odrisamer Despaigne,,,lmb_official_calendar,1,16,1,0,0,2,0,0,0,1,0,1,0,4,0,0,No Line,0.0,none,-1,20,6,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809656
809191,2025-04-18,19:00,2025,QRO,LEO,Dalton Rodriguez,Chris Vallimont,,,lmb_official_calendar,1,11,1,0,0,1,1,0,0,2,0,2,0,5,1,0,No Line,0.0,none,-1,9,9,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809191
809238,2025-04-18,19:00,2025,VER,PUE,David Reyes,Angel Sanchez,,,lmb_official_calendar,1,9,2,1,0,0,0,5,1,3,0,0,0,9,1,0,No Line,0.0,none,-1,11,7,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809238
809286,2025-04-18,19:00,2025,TIJ,AGS,Jorge Perez,Ronald Medrano,,,lmb_official_calendar,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,No Line,0.0,none,-1,4,7,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809286
809335,2025-04-18,19:00,2025,DUR,SLT,Aaron Brooks,Manny Barreda,,,lmb_official_calendar,1,12,8,0,2,0,3,0,0,0,1,0,2,0,8,0,No Line,0.0,none,-1,10,12,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809335
809520,2025-04-18,19:00,2025,MTY,JAL,Stephen Tarpley,Dereck Rodríguez,,,lmb_official_calendar,1,3,2,1,0,0,0,1,1,0,0,0,0,2,1,0,No Line,0.0,none,-1,10,4,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809520
809571,2025-04-18,19:00,2025,MVA,LAR,Steven Moyers,Nick Margevicius,,,lmb_official_calendar,1,1,5,1,0,0,4,0,1,0,0,0,0,1,5,0,No Line,0.0,none,-1,9,9,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809571
809658,2025-04-18,19:00,2025,MEX,YUC,Dan Straily,Raúl Alcantara,,,lmb_official_calendar,1,7,16,0,0,6,0,0,7,0,0,0,2,6,9,0,No Line,0.0,none,-1,9,21,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809658
809750,2025-04-18,19:00,2025,CAM,TIG,Jon Olsen,Darel Torres,,,lmb_official_calendar,1,5,3,0,0,0,3,2,0,1,0,2,0,5,3,0,No Line,0.0,none,-1,4,7,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809750
809935,2025-04-18,19:00,2025,LAG,CHI,Aldo Montes,Javier Solano,,,lmb_official_calendar,1,7,1,0,0,0,0,3,0,3,1,1,0,7,1,0,No Line,0.0,none,-1,10,9,1,post,Final,Final,,,,,,,,,,,,,0,,,,,,none,809935
