split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
0,f5,2025-04-18,2025-05-15,2025-05-16,2025-05-22,2025-05-23,2025-05-23,229,60,8,0.65,0.35,0.0,0.55,0.0,0.6363636363636364,0.55,0.6206896551724138,0.48333333333333334,0,0.0,0.08,0.08333333333333333,0,publish_quality,global_lr,none,0.0,0.45,0.0,0.55,0.24626712650452187,0.6856641953217262,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00045000000000000004,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.55,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.21461920259749132,0.6219518341783423,1.0,1.0,0.625
1,f5,2025-04-18,2025-05-18,2025-05-19,2025-05-25,2025-05-26,2025-05-26,258,60,1,0.35,0.65,0.0,0.55,0.0,1.0,0.016666666666666666,1.0,0.016666666666666666,0,0.0,0.08,0.11666666666666667,0,publish_quality,global_lr,none,0.0,0.5,0.0,0.5333333333333333,0.24740244598050332,0.6879360584594306,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00045000000000000004,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5333333333333333,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7308464822052896,0.5,0.0,0.0
2,f5,2025-04-18,2025-05-21,2025-05-22,2025-05-28,2025-05-29,2025-05-29,279,60,9,0.65,0.35,0.0,0.56,0.0,0.7272727272727273,0.18333333333333332,0.7,0.16666666666666666,0,0.0,0.08,0.13333333333333333,0,publish_quality,global_lr,none,0.0,0.4666666666666667,0.0,0.5666666666666667,0.24662314537380106,0.6863633465441275,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00045000000000000004,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5666666666666667,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2634336572686696,0.7201621038011883,0.30000000000000004,0.0,0.1111111111111111
3,f5,2025-04-18,2025-05-24,2025-05-25,2025-05-31,2025-06-01,2025-06-01,308,60,8,0.8,0.2,0.0,0.62,0.0,0.7857142857142857,0.23333333333333334,0.0,0.0,0,0.0,0.08,0.11666666666666667,0,publish_quality,global_lr,none,0.0,0.4,0.0,0.6,0.23787493109438662,0.6685096019868433,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0007500000000000001,0.08333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.2565213523315327,0.7063462299133981,0.4375,0.0,0.0
4,f5,2025-04-18,2025-05-27,2025-05-28,2025-06-03,2025-06-04,2025-06-04,329,58,12,0.65,0.35,0.0,0.62,0.0,0.8461538461538461,0.22413793103448276,0.0,0.0,0,0.0,0.08,0.08620689655172414,0,publish_quality,global_lr,none,0.0,0.41379310344827586,0.0,0.5862068965517241,0.2395974603643332,0.6719221631497263,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0007758620689655173,0.08620689655172414,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5862068965517241,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.22200706602862663,0.6361325690750858,0.6875,0.0,0.0
5,f5,2025-04-18,2025-05-30,2025-05-31,2025-06-06,2025-06-07,2025-06-07,357,59,11,0.2,0.8,0.0,0.58,0.0,0.9090909090909091,0.1864406779661017,0.8,0.0847457627118644,0,0.0,0.08,0.0847457627118644,0,publish_quality,global_lr,none,0.0,0.4745762711864407,0.0,0.5254237288135594,0.2401586610239859,0.6730712242029031,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00015254237288135595,0.01694915254237288,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5254237288135594,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.5454545454545454,0.5454545454545454,0.23514439480862673,0.6629467797539138,0.6666666666666667,0.0,0.0
6,f5,2025-04-18,2025-06-02,2025-06-03,2025-06-09,2025-06-10,2025-06-10,377,61,10,0.2,0.8,0.0,0.6,0.0,0.9090909090909091,0.18032786885245902,0.0,0.0,0,0.0,0.08,0.08196721311475409,0,publish_quality,global_lr,none,0.0,0.4918032786885246,0.0,0.6065573770491803,0.23568002012691733,0.6641331441422416,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6065573770491803,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2078437239000006,0.607818304699,0.9523809523809524,0.0,0.0
7,f5,2025-04-18,2025-06-05,2025-06-06,2025-06-12,2025-06-13,2025-06-13,407,59,9,0.2,0.8,0.0,0.64,0.0,0.9090909090909091,0.1864406779661017,0.9,0.1694915254237288,0,0.0,0.08,0.05084745762711865,0,publish_quality,global_lr,none,0.0,0.559322033898305,0.0,0.6271186440677966,0.22236829088905533,0.6357325289957032,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0004576271186440678,0.05084745762711865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6271186440677966,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.25094492497644216,0.696726259136079,0.55,0.5,0.2222222222222222
8,f5,2025-04-18,2025-06-08,2025-06-09,2025-06-15,2025-06-17,2025-06-17,437,57,10,0.35,0.65,0.0,0.62,0.0,0.8,0.17543859649122806,0.75,0.07017543859649122,0,0.0,0.08,0.14035087719298245,0,publish_quality,global_lr,none,0.0,0.5263157894736842,0.0,0.5964912280701754,0.225637802883217,0.6433025509146847,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0007894736842105264,0.08771929824561403,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5964912280701754,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.7,0.23940984256828024,0.671655386757437,0.6,1.0,0.1
9,f5,2025-04-18,2025-06-11,2025-06-12,2025-06-19,2025-06-20,2025-06-20,458,65,8,0.2,0.8,0.0,0.66,0.0,0.7894736842105263,0.2923076923076923,0.7894736842105263,0.2923076923076923,0,0.0,0.08,0.2153846153846154,0,publish_quality,global_lr,none,0.0,0.38461538461538464,0.0,0.6,0.22487913639375354,0.6409789519401403,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0006923076923076924,0.07692307692307693,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.625,0.625,0.1895035576437469,0.5667580490894782,0.9333333333333333,1.0,0.25
