split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
0,full_game,2025-04-18,2025-05-15,2025-05-16,2025-05-22,2025-05-23,2025-05-23,229,60,8,0.8,0.2,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.08333333333333333,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5166666666666667,0.0,0.5666666666666667,0.24873533440181042,0.6906159145223926,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00015000000000000001,0.016666666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5666666666666667,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.24921359367372103,0.6915709329988062,0.6,0.0,0.0
1,full_game,2025-04-18,2025-05-18,2025-05-19,2025-05-25,2025-05-26,2025-05-26,258,60,1,0.0,1.0,0.0,0.64,0.0,0.7368421052631579,0.31666666666666665,0.7142857142857143,0.23333333333333334,0,0.0,0.05,0.11666666666666667,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5833333333333334,-0.01,0.6833333333333333,0.2249127128970958,0.6423270131325574,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00045000000000000004,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6833333333333333,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4747661047919359,0.5,0.0,0.0
2,full_game,2025-04-18,2025-05-21,2025-05-22,2025-05-28,2025-05-29,2025-05-29,279,60,9,0.2,0.8,0.0,0.61,0.0,0.6818181818181818,0.36666666666666664,0.5,0.16666666666666666,0,0.0,0.05,0.13333333333333333,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.6,0.0,0.6,0.2386374521497045,0.6701953652388866,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0009000000000000001,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27692839421279697,0.7484231087898732,0.35,0.0,0.2222222222222222
3,full_game,2025-04-18,2025-05-24,2025-05-25,2025-05-31,2025-06-01,2025-06-01,308,60,8,0.0,1.0,0.0,0.56,0.0,0.6363636363636364,0.18333333333333332,0.75,0.06666666666666667,0,0.0,0.05,0.11666666666666667,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,16.0,0.48333333333333334,0.01,0.6166666666666667,0.24317904337510868,0.679462911175656,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00105,0.11666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6166666666666667,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.625,0.625,0.24249287178484635,0.6780813143306205,0.6666666666666667,1.0,0.125
4,full_game,2025-04-18,2025-05-27,2025-05-28,2025-06-03,2025-06-04,2025-06-04,329,58,12,0.0,1.0,0.0,0.61,0.0,0.8076923076923077,0.4482758620689655,0.7727272727272727,0.3793103448275862,0,0.0,0.05,0.08620689655172414,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.41379310344827586,0.01,0.6379310344827587,0.2180093844562252,0.6269517958169882,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0007758620689655173,0.08620689655172414,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6379310344827587,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.5,0.25414829734398026,0.7025037913916705,0.5142857142857142,0.5,0.3333333333333333
5,full_game,2025-04-18,2025-05-30,2025-05-31,2025-06-06,2025-06-07,2025-06-07,357,59,11,0.0,1.0,0.0,0.56,0.0,0.5,0.2033898305084746,0.0,0.0,0,0.0,0.05,0.0847457627118644,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.4576271186440678,0.02,0.6101694915254238,0.2473849496589672,0.6879308057175506,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0006101694915254238,0.06779661016949153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6101694915254238,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25336113556091466,0.6998565065077554,0.6666666666666667,0.0,0.0
6,full_game,2025-04-18,2025-06-02,2025-06-03,2025-06-09,2025-06-10,2025-06-10,377,61,10,0.0,1.0,0.0,0.58,0.0,0.7222222222222222,0.29508196721311475,0.75,0.19672131147540983,0,0.0,0.05,0.08196721311475409,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5409836065573771,-0.01,0.6065573770491803,0.2429544701380891,0.6788747271192653,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0004426229508196722,0.04918032786885246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6065573770491803,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.240104951080477,0.673104237748396,0.5555555555555556,0.0,0.0
7,full_game,2025-04-18,2025-06-05,2025-06-06,2025-06-12,2025-06-13,2025-06-13,407,59,9,0.0,1.0,0.0,0.68,0.0,0.7714285714285715,0.5932203389830508,0.7714285714285715,0.5932203389830508,0,0.0,0.05,0.05084745762711865,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.6949152542372882,0.0,0.6949152542372882,0.20917595989246668,0.6084090298964681,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0013728813559322037,0.15254237288135594,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6949152542372882,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.1835534596220511,0.5552728624186289,0.42857142857142855,0.7142857142857143,0.7777777777777778
8,full_game,2025-04-18,2025-06-08,2025-06-09,2025-06-15,2025-06-17,2025-06-17,437,57,10,0.0,1.0,0.0,0.56,0.0,0.7017543859649122,1.0,0.7017543859649122,1.0,0,0.0,0.05,0.14035087719298245,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.7017543859649122,0.0,0.7017543859649122,0.2090604519260886,0.6088098527329271,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0011052631578947368,0.12280701754385964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.7017543859649122,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.5,0.5,0.29473358722105086,0.7917009061438247,0.32,0.5,1.0
9,full_game,2025-04-18,2025-06-11,2025-06-12,2025-06-19,2025-06-20,2025-06-20,458,65,8,1.0,0.0,0.0,0.58,0.0,0.6363636363636364,0.3384615384615385,0.5,0.18461538461538463,0,0.0,0.05,0.2153846153846154,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5692307692307692,0.0,0.5692307692307692,0.2432529118286354,0.6795118136552588,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00027692307692307695,0.03076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5692307692307692,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.625,0.625,0.22909583285560126,0.650767887162075,0.8,1.0,0.25
