split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
0,yrfi,2025-04-18,2025-05-15,2025-05-16,2025-05-22,2025-05-23,2025-05-23,229,60,8,0.5,0.5,0.0,0.58,0.06,0.6842105263157895,0.31666666666666665,0.5833333333333334,0.2,0,0.0,0.08,0.08333333333333333,0,publish_quality,global_lr,none,0.0,0.5833333333333334,0.0,0.5833333333333334,0.2428710741475137,0.6788133742504319,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016000000000000003,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5833333333333334,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.23732752700860732,0.6676657601373899,0.33333333333333337,1.0,0.125
1,yrfi,2025-04-18,2025-05-18,2025-05-19,2025-05-25,2025-05-26,2025-05-26,258,60,1,0.2,0.8,0.0,0.55,0.06,0.5,0.26666666666666666,0.5,0.2,0,0.0,0.08,0.11666666666666667,0,publish_quality,global_lr,none,0.0,0.55,0.0,0.55,0.24718062802250604,0.6874961541500091,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.55,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036771691977828,0.5,0.0,0.0
2,yrfi,2025-04-18,2025-05-21,2025-05-22,2025-05-28,2025-05-29,2025-05-29,279,60,9,0.2,0.8,0.0,0.62,0.06,0.8,0.16666666666666666,0.875,0.13333333333333333,0,0.0,0.08,0.13333333333333333,0,publish_quality,global_lr,none,0.0,0.6166666666666667,0.0,0.6166666666666667,0.23477788112731535,0.6622973949431482,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6166666666666667,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.22372856621806145,0.6397445516346321,0.5555555555555556,1.0,0.2222222222222222
3,yrfi,2025-04-18,2025-05-24,2025-05-25,2025-05-31,2025-06-01,2025-06-01,308,60,8,0.2,0.8,0.0,0.55,0.06,0.7,1.0,0.7,1.0,0,0.0,0.08,0.11666666666666667,0,publish_quality,global_lr,none,0.0,0.7,0.0,0.7,0.20983780868408036,0.6104878876072279,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016000000000000003,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.7,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.875,0.875,0.14571620707344224,0.47596992152616,0.42857142857142855,0.875,1.0
4,yrfi,2025-04-18,2025-05-27,2025-05-28,2025-06-03,2025-06-04,2025-06-04,329,58,12,0.2,0.8,0.0,0.55,0.06,0.7758620689655172,1.0,0.7758620689655172,1.0,0,0.0,0.08,0.08620689655172414,0,publish_quality,global_lr,none,0.0,0.7758620689655172,0.0,0.7758620689655172,0.17394108439422273,0.5322265294341673,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.001586206896551724,0.39655172413793105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.7758620689655172,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.23038525712524205,0.6571322845532073,0.53125,0.6666666666666666,1.0
5,yrfi,2025-04-18,2025-05-30,2025-05-31,2025-06-06,2025-06-07,2025-06-07,357,59,11,0.2,0.8,0.0,0.55,0.06,0.711864406779661,1.0,0.711864406779661,1.0,0,0.0,0.08,0.0847457627118644,0,publish_quality,global_lr,none,0.0,0.711864406779661,0.0,0.711864406779661,0.20516108029660607,0.6005883216615311,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016271186440677966,0.4067796610169492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.711864406779661,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.7272727272727273,0.7272727272727273,0.20081459305073904,0.5918547201902387,0.125,0.7272727272727273,1.0
6,yrfi,2025-04-18,2025-06-02,2025-06-03,2025-06-09,2025-06-10,2025-06-10,377,61,10,0.2,0.8,0.0,0.55,0.06,0.6885245901639344,1.0,0.6885245901639344,1.0,0,0.0,0.08,0.08196721311475409,0,publish_quality,global_lr,none,0.0,0.6885245901639344,0.0,0.6885245901639344,0.21374398884340015,0.6186625975296604,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.4098360655737705,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6885245901639344,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.24716235693655672,0.6889253187749345,0.37499999999999994,0.6,1.0
7,yrfi,2025-04-18,2025-06-05,2025-06-06,2025-06-12,2025-06-13,2025-06-13,407,59,9,0.2,0.8,0.0,0.55,0.06,0.7796610169491526,1.0,0.7796610169491526,1.0,0,0.0,0.08,0.05084745762711865,0,publish_quality,global_lr,none,0.0,0.7796610169491526,0.0,0.7796610169491526,0.17197302564618794,0.5278583386066269,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016949152542372883,0.423728813559322,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.7796610169491526,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.17350608880963247,0.5315613424770423,0.35714285714285715,0.7777777777777778,1.0
8,yrfi,2025-04-18,2025-06-08,2025-06-09,2025-06-15,2025-06-17,2025-06-17,437,57,10,0.2,0.8,0.0,0.55,0.06,0.7017543859649122,1.0,0.7017543859649122,1.0,0,0.0,0.08,0.14035087719298245,0,publish_quality,global_lr,none,0.0,0.7017543859649122,0.0,0.7017543859649122,0.20675773518242882,0.6033601301700372,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016140350877192984,0.40350877192982454,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.7017543859649122,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.7,0.20720639578587186,0.6042342552111928,0.6190476190476191,0.7,1.0
9,yrfi,2025-04-18,2025-06-11,2025-06-12,2025-06-19,2025-06-20,2025-06-20,458,65,8,0.35,0.65,0.0,0.63,0.06,0.6551724137931034,0.8923076923076924,0.6551724137931034,0.8923076923076924,0,0.0,0.08,0.2153846153846154,0,publish_quality,global_lr,none,0.0,0.6461538461538462,0.0,0.6461538461538462,0.2280592455219943,0.6485244573961191,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6461538461538462,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.5,0.27124358291213013,0.7375096547900672,0.1875,0.4,0.625
10,yrfi,2025-04-18,2025-06-14,2025-06-15,2025-06-22,2025-06-23,2025-06-23,484,64,3,0.5,0.5,0.0,0.55,0.06,0.0,0.0,0.0,0.0,1,0.02,0.08,0.28125,0,fallback_default,global_lr,none,0.0,0.5,0.0,0.0,0.0,0.0,fallback_default,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6863073600129969,0.5,0.0,0.0
11,yrfi,2025-04-18,2025-06-18,2025-06-19,2025-06-25,2025-06-26,2025-06-26,513,57,9,0.5,0.5,0.0,0.55,0.06,0.0,0.0,0.0,0.0,1,0.02,0.08,0.19298245614035087,0,fallback_default,global_lr,none,0.0,0.5087719298245614,0.0,0.0,0.0,0.0,fallback_default,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.2507936821947401,0.694738970594778,0.6111111111111112,0.0,0.0
12,yrfi,2025-04-18,2025-06-21,2025-06-22,2025-07-02,2025-07-03,2025-07-03,540,59,10,0.5,0.5,0.0,0.55,0.06,0.0,0.0,0.0,0.0,1,0.02,0.08,0.1864406779661017,0,fallback_default,global_lr,none,0.0,0.5084745762711864,0.0,0.0,0.0,0.0,fallback_default,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,0.2513833762566661,0.6959252438705463,0.5,0.0,0.0
13,yrfi,2025-04-18,2025-06-24,2025-06-25,2025-07-05,2025-07-06,2025-07-06,560,69,10,0.5,0.5,0.0,0.55,0.06,0.0,0.0,0.0,0.0,1,0.02,0.08,0.11594202898550725,0,fallback_default,global_lr,none,0.0,0.5507246376811594,0.0,0.0,0.0,0.0,fallback_default,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.24248877735469118,0.6780827802709579,0.75,0.0,0.0
14,yrfi,2025-04-18,2025-07-01,2025-07-02,2025-07-08,2025-07-09,2025-07-09,588,62,11,0.35,0.65,0.0,0.62,0.06,0.6944444444444444,0.5806451612903226,0.6428571428571429,0.45161290322580644,0,0.0,0.08,0.06451612903225806,0,publish_quality,global_lr,none,0.0,0.6290322580645161,0.0,0.6290322580645161,0.2331177482444453,0.6589710241293123,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016129032258064516,0.4032258064516129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6290322580645161,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.18755560320583878,0.5660228603148546,0.16666666666666666,0.7142857142857143,0.6363636363636364
15,yrfi,2025-04-18,2025-07-04,2025-07-05,2025-07-11,2025-07-12,2025-07-12,619,61,9,0.2,0.8,0.0,0.55,0.06,0.6721311475409836,1.0,0.6721311475409836,1.0,0,0.0,0.08,0.04918032786885246,0,publish_quality,global_lr,none,0.0,0.6721311475409836,0.0,0.6721311475409836,0.22013807804568788,0.6321373256929613,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.4098360655737705,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6721311475409836,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.22302829643709587,0.6383012464813623,0.38888888888888895,0.6666666666666666,1.0
16,yrfi,2025-04-18,2025-07-07,2025-07-08,2025-07-15,2025-07-16,2025-07-16,640,67,11,0.2,0.8,0.0,0.55,0.06,0.6716417910447762,1.0,0.6716417910447762,1.0,0,0.0,0.08,0.11940298507462686,0,publish_quality,global_lr,none,0.0,0.6716417910447762,0.0,0.6716417910447762,0.2201272003162593,0.6320976146673002,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016119402985074627,0.40298507462686567,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6716417910447762,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.2902550172468135,0.7775762786321372,0.39999999999999997,0.45454545454545453,1.0
17,yrfi,2025-04-18,2025-07-10,2025-07-11,2025-07-18,2025-07-19,2025-07-19,670,67,10,0.5,0.5,0.0,0.55,0.06,0.0,0.0,0.0,0.0,1,0.02,0.08,0.208955223880597,0,fallback_default,global_lr,none,0.0,0.5074626865671642,0.0,0.0,0.0,0.0,fallback_default,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.6,0.2495817769207611,0.6923107285398695,0.56,0.0,0.0
