scenario,xgb_grid,brier_weight,prob_shift_range,accuracy,brier,logloss,coverage,published_accuracy,published_coverage,rows,splits
compact_grid,"0.00,0.20,0.35,0.50,0.65,0.80,1.00",0.08,-0.02..0.02,0.5782312925170068,0.2501804420149413,0.6936392445294711,0.07653061224489796,0.4666666666666667,0.07653061224489796,588,55
compact_grid_recheck,"0.00,0.20,0.35,0.50,0.65,0.80,1.00",0.08,-0.02..0.02,0.5782312925170068,0.2501804420149413,0.6936392445294711,0.07653061224489796,0.4666666666666667,0.07653061224489796,588,55
post_patch_default,default (patched),0.08,-0.02..0.02,0.5782312925170068,0.2501804420149413,0.6936392445294711,0.07653061224489796,0.4666666666666667,0.07653061224489796,588,55
xgb_grid_wide,0.00..1.00 step 0.10,0.08,-0.02..0.02,0.5748299319727891,0.2502236621917342,0.6937277351035067,0.09183673469387756,0.46296296296296297,0.09183673469387756,588,55
xgbwide_brier004,0.00..1.00 step 0.10,0.04,-0.02..0.02,0.5748299319727891,0.2502236621917342,0.6937277351035067,0.09183673469387756,0.46296296296296297,0.09183673469387756,588,55
xgbwide_brier010,0.00..1.00 step 0.10,0.10,-0.02..0.02,0.5748299319727891,0.2502236621917342,0.6937277351035067,0.09183673469387756,0.46296296296296297,0.09183673469387756,588,55
baseline_ref,"0.20,0.35,0.50,0.65,0.80",0.08,-0.02..0.02,0.5748299319727891,0.2504091531581547,0.6940976247213165,0.08333333333333333,0.4489795918367347,0.08333333333333333,588,55
brier_0,"0.20,0.35,0.50,0.65,0.80",0.00,-0.02..0.02,0.5714285714285714,0.2502566356402233,0.6937863565861868,0.07653061224489796,0.5333333333333333,0.07653061224489796,588,55
xgbwide_brier008_shiftwide,0.00..1.00 step 0.10,0.08,-0.05..0.05,0.5425170068027211,0.2509054230522432,0.6950619438233079,0.06462585034013606,0.42105263157894735,0.06462585034013606,588,55
acc_aggressive,0.00..1.00 step 0.10,0.00,-0.05..0.05,0.5425170068027211,0.25137317208775145,0.6960336222128741,0.047619047619047616,0.39285714285714285,0.047619047619047616,588,55
