segment_group,segment,rows,old_hits,new_hits,delta_hits,old_acc,new_acc,delta_pp
overall,overall,588,340,312,-28,0.5782312925170068,0.5306122448979592,-4.761904761904756
favorite_balance,heavy_favorite,172,95,87,-8,0.5523255813953488,0.5058139534883721,-4.651162790697672
favorite_balance,mid_gap,249,139,128,-11,0.5582329317269076,0.5140562248995983,-4.417670682730924
favorite_balance,balanced,167,106,97,-9,0.6347305389221557,0.5808383233532934,-5.389221556886225
strength_tier,high,76,51,47,-4,0.6710526315789473,0.618421052631579,-5.263157894736836
strength_tier,mid,52,30,27,-3,0.5769230769230769,0.5192307692307693,-5.769230769230759
strength_tier,low,460,259,238,-21,0.5630434782608695,0.5173913043478261,-4.565217391304344
favorite_side,home_favorite,21,14,14,0,0.6666666666666666,0.6666666666666666,0.0
favorite_side,away_favorite,558,322,294,-28,0.5770609318996416,0.5268817204301075,-5.017921146953408
favorite_side,unknown,9,4,4,0,0.4444444444444444,0.4444444444444444,0.0
confidence_tier_old,0.65+,7,4,4,0,0.5714285714285714,0.5714285714285714,0.0
confidence_tier_old,0.60-0.65,33,15,15,0,0.45454545454545453,0.45454545454545453,0.0
confidence_tier_old,0.56-0.60,122,60,60,0,0.4918032786885246,0.4918032786885246,0.0
confidence_tier_old,0.53-0.56,147,88,86,-2,0.5986394557823129,0.5850340136054422,-1.3605442176870763
confidence_tier_old,<=0.53,279,173,147,-26,0.6200716845878136,0.5268817204301075,-9.31899641577061
confidence_tier_new,0.65+,7,4,4,0,0.5714285714285714,0.5714285714285714,0.0
confidence_tier_new,0.60-0.65,37,15,15,0,0.40540540540540543,0.40540540540540543,0.0
confidence_tier_new,0.56-0.60,111,55,55,0,0.4954954954954955,0.4954954954954955,0.0
confidence_tier_new,0.53-0.56,127,67,68,1,0.5275590551181102,0.5354330708661418,0.7874015748031593
confidence_tier_new,<=0.53,306,199,170,-29,0.6503267973856209,0.5555555555555556,-9.477124183006536
