segment_group,segment,rows,old_hits,new_hits,delta_hits,old_acc,new_acc,delta_pp
overall,overall,588,340,328,-12,0.5782312925170068,0.5578231292517006,-2.0408163265306145
favorite_balance,heavy_favorite,172,95,92,-3,0.5523255813953488,0.5348837209302325,-1.744186046511631
favorite_balance,mid_gap,249,139,133,-6,0.5582329317269076,0.5341365461847389,-2.409638554216864
favorite_balance,balanced,167,106,103,-3,0.6347305389221557,0.6167664670658682,-1.7964071856287456
strength_tier,high,76,51,47,-4,0.6710526315789473,0.618421052631579,-5.263157894736836
strength_tier,mid,52,30,30,0,0.5769230769230769,0.5769230769230769,0.0
strength_tier,low,460,259,251,-8,0.5630434782608695,0.5456521739130434,-1.7391304347826098
favorite_side,home_favorite,21,14,14,0,0.6666666666666666,0.6666666666666666,0.0
favorite_side,away_favorite,558,322,310,-12,0.5770609318996416,0.5555555555555556,-2.1505376344086002
favorite_side,unknown,9,4,4,0,0.4444444444444444,0.4444444444444444,0.0
confidence_tier_old,0.65+,7,4,4,0,0.5714285714285714,0.5714285714285714,0.0
confidence_tier_old,0.60-0.65,33,15,15,0,0.45454545454545453,0.45454545454545453,0.0
confidence_tier_old,0.56-0.60,122,60,60,0,0.4918032786885246,0.4918032786885246,0.0
confidence_tier_old,0.53-0.56,147,88,88,0,0.5986394557823129,0.5986394557823129,0.0
confidence_tier_old,<=0.53,279,173,161,-12,0.6200716845878136,0.5770609318996416,-4.3010752688172005
confidence_tier_new,0.65+,4,2,2,0,0.5,0.5,0.0
confidence_tier_new,0.60-0.65,46,25,25,0,0.5434782608695652,0.5434782608695652,0.0
confidence_tier_new,0.56-0.60,107,57,57,0,0.5327102803738317,0.5327102803738317,0.0
confidence_tier_new,0.53-0.56,155,87,85,-2,0.5612903225806452,0.5483870967741935,-1.2903225806451646
confidence_tier_new,<=0.53,276,169,159,-10,0.6123188405797102,0.5760869565217391,-3.6231884057971064
