"config","mode","grid","accuracy","brier","logloss","published_accuracy","coverage"
"grid_default","auto","0.20,0.35,0.50,0.65,0.80","0.555363321799308","0.249373518879061","0.692019056172464","0.521739130434783","0.119377162629758"
"grid_lgbm_lean","auto","0.10,0.20,0.35,0.50","0.55363321799308","0.248820137042515","0.690913051663444","0.53030303030303","0.114186851211073"
"grid_lgbm_lean","regime_aware","0.10,0.20,0.35,0.50","0.55363321799308","0.249059214940848","0.691369684071107","0.544303797468354","0.136678200692042"
"grid_wide","regime_aware","0.00,0.20,0.50,0.80,1.00","0.550173010380623","0.249679136294593","0.692633593271395","0.540540540540541","0.1280276816609"
"grid_xgb_lean","auto","0.50,0.65,0.80,0.90","0.548442906574394","0.249299818534556","0.69185653210352","0.565217391304348","0.119377162629758"
"grid_wide","auto","0.00,0.20,0.50,0.80,1.00","0.548442906574394","0.249871022452869","0.693043446430422","0.53030303030303","0.114186851211073"
"grid_default","regime_aware","0.20,0.35,0.50,0.65,0.80","0.546712802768166","0.249647640072742","0.692546989963893","0.534246575342466","0.126297577854671"
"grid_xgb_lean","regime_aware","0.50,0.65,0.80,0.90","0.541522491349481","0.249338106801195","0.691917472354868","0.575342465753425","0.126297577854671"
"grid_xgb_lean","global_lr","0.50,0.65,0.80,0.90","0.539792387543253","0.24928894046122","0.6918047919401","0.545454545454545","0.0761245674740484"
"grid_default","global_lr","0.20,0.35,0.50,0.65,0.80","0.539792387543253","0.249074915113234","0.691375281411844","0.555555555555556","0.0778546712802768"
"grid_lgbm_lean","global_lr","0.10,0.20,0.35,0.50","0.536332179930796","0.249424569723411","0.692080749726275","0.590909090909091","0.0761245674740484"
"grid_wide","global_lr","0.00,0.20,0.50,0.80,1.00","0.532871972318339","0.249886760390046","0.693003365007426","0.622222222222222","0.0778546712802768"
