split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
0,full_game,2024-02-23,2024-06-22,2024-06-23,2024-07-13,2024-07-14,2024-07-14,1588,283,15,0.8,0.2,0.0,0.62,0.0,0.4307692307692308,0.22968197879858657,0.0,0.0,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5300353356890459,0.0,0.5300353356890459,0.257078390522488,0.7077867227980612,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0046007067137809185,0.6501766784452296,1,0.18,0.02,0.3607355578581717,0.2508833922261484,0.007214711157163433,0.32373527967486115,0.13333333333333333,1,0.0,0.5,0.04,0.5300353356890459,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.4666666666666667,0.2527290316090445,0.6986120677378849,0.48214285714285715,0.0,0.0
1,full_game,2024-02-23,2024-06-29,2024-06-30,2024-07-24,2024-07-25,2024-07-25,1683,289,8,0.35,0.65,0.0,0.57,0.0,0.5185185185185185,0.09342560553633218,0.0,0.0,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,8.0,0.5017301038062284,-0.01,0.5086505190311419,0.25401250345349746,0.7012186614333069,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004491349480968858,0.643598615916955,1,0.18,0.02,0.34758710134726956,0.25259515570934254,0.006951742026945391,0.2641144251402294,0.0,1,0.0,0.5,0.04,0.5086505190311419,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.625,0.625,0.24707745043961105,0.6873019624742875,0.6666666666666666,0.0,0.0
2,full_game,2024-02-23,2024-07-06,2024-07-07,2024-07-31,2024-08-01,2024-08-01,1776,291,5,0.35,0.65,0.0,0.54,0.0,0.38636363636363635,0.15120274914089346,0.0,0.0,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,8.0,0.5051546391752577,0.0,0.5257731958762887,0.25358652221806466,0.700353203378996,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004982817869415808,0.6907216494845361,1,0.18,0.02,0.3302950131297142,0.2508591065292096,0.006605900262594286,0.30140905870145196,0.2,1,0.0,0.5,0.04,0.5257731958762887,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2492920323081039,0.6917368355640545,0.5,0.0,0.0
3,full_game,2024-02-23,2024-07-13,2024-07-14,2024-08-07,2024-08-08,2024-08-08,1871,285,10,0.35,0.65,0.0,0.57,0.0,0.5,0.08421052631578947,0.6,0.017543859649122806,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.4842105263157895,0.02,0.5649122807017544,0.25127741886965105,0.6957311441133099,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0047859649122807026,0.6526315789473685,1,0.18,0.02,0.33798781036136716,0.25263157894736843,0.006759756207227344,0.37445867096496877,0.4,1,-0.08,0.5,0.04,0.5649122807017544,0.5100433063228025,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.22370762343314016,0.640367242733279,0.875,0.0,0.0
4,full_game,2024-02-23,2024-07-24,2024-07-25,2024-08-14,2024-08-15,2024-08-15,1972,279,7,0.8,0.2,0.0,0.54,0.0,0.589041095890411,0.2616487455197133,0.6097560975609756,0.2939068100358423,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.4874551971326165,0.0,0.5627240143369175,0.24784811562790451,0.6888164487008048,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005344086021505377,0.6989247311827957,1,0.18,0.02,0.3344439507544944,0.25089605734767023,0.0066888790150898885,0.33282605565166845,0.42857142857142855,1,0.0,0.5,0.04,0.5627240143369175,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.2550609177427467,0.7035111350008114,0.6000000000000001,0.0,0.14285714285714285
5,full_game,2024-02-23,2024-07-31,2024-08-01,2024-08-21,2024-08-22,2024-08-22,2067,275,10,1.0,0.0,0.0,0.6,0.0,0.8260869565217391,0.08363636363636363,0.8,0.07272727272727272,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5127272727272727,-0.01,0.5781818181818181,0.24332088465035165,0.6795383835834201,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005265454545454546,0.7127272727272728,1,0.18,0.02,0.3284142920367965,0.2509090909090909,0.00656828584073593,0.30539700652256074,0.2,1,-0.08,0.5,0.04,0.5781818181818181,0.5155682394781952,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.24367748856244745,0.6802803515892174,0.4375,0.0,0.0
6,full_game,2024-02-23,2024-08-07,2024-08-08,2024-08-28,2024-08-29,2024-08-29,2156,282,11,0.8,0.2,0.0,0.6,0.0,0.65625,0.11347517730496454,0.7142857142857143,0.04964539007092199,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,16.0,0.5283687943262412,0.01,0.5780141843971631,0.24562425626071283,0.6842984853309736,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004780141843971631,0.6773049645390071,1,0.18,0.02,0.3294216813397169,0.25177304964539005,0.006588433626794339,0.3249423243667375,0.18181818181818182,1,0.0,0.5,0.04,0.5780141843971631,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.2488272020745809,0.6918483721633224,0.5333333333333333,0.0,0.09090909090909091
7,full_game,2024-02-23,2024-08-14,2024-08-15,2024-09-04,2024-09-05,2024-09-05,2251,283,9,0.5,0.5,0.0,0.57,0.0,0.5783132530120482,0.29328621908127206,0.7142857142857143,0.04946996466431095,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,24.0,0.5229681978798587,-0.02,0.5724381625441696,0.24729747835687588,0.6877506932530286,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005434628975265018,0.7385159010600707,1,0.18,0.02,0.331494826368928,0.2508833922261484,0.006629896527378561,0.35142519038403647,0.2222222222222222,1,0.0,0.5,0.04,0.5724381625441696,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.23843983728505216,0.6699022767106769,0.7000000000000001,0.0,0.0
8,full_game,2024-02-23,2024-08-21,2024-08-22,2024-09-11,2024-09-12,2024-09-12,2342,285,8,0.8,0.2,0.0,0.54,0.0,0.7272727272727273,0.11578947368421053,0.6341463414634146,0.14385964912280702,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,16.0,0.5157894736842106,-0.02,0.5543859649122806,0.2483035898782177,0.6897372983242445,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0049649122807017545,0.6736842105263158,1,0.18,0.02,0.33757921192008,0.25263157894736843,0.006751584238401599,0.2997802431776516,0.0,1,0.0,0.5,0.04,0.5543859649122806,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.23661477595046848,0.6663350313710195,0.8666666666666667,0.0,0.0
9,full_game,2024-02-23,2024-08-28,2024-08-29,2024-09-18,2024-09-19,2024-09-19,2438,282,12,1.0,0.0,0.0,0.55,0.0,0.6341463414634146,0.1453900709219858,0.6590909090909091,0.15602836879432624,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5319148936170213,-0.01,0.574468085106383,0.2469608757953691,0.6870575489951338,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00474113475177305,0.6631205673758865,1,0.18,0.02,0.31807018072675103,0.25177304964539005,0.006361403614535021,0.34780924890675946,0.4166666666666667,1,0.0,0.5,0.04,0.574468085106383,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.23875633591956447,0.6705460913281801,0.6571428571428571,1.0,0.08333333333333333
