"config","min","max","step","accuracy","brier","logloss","published_accuracy","coverage"
"asym_pos_015_025","-0.015","0.025","0.005","0.555363321799308","0.248888908161923","0.691074978984223","0.539473684210526","0.131487889273356"
"base","-0.02","0.02","0.01","0.555363321799308","0.249373518879061","0.692019056172464","0.521739130434783","0.119377162629758"
"asym_pos_015_03","-0.015","0.03","0.005","0.55363321799308","0.248961255604749","0.691222218960527","0.546666666666667","0.129757785467128"
"narrow_pos","-0.01","0.02","0.005","0.551903114186851","0.249269447583617","0.691850661826496","0.525641025641026","0.134948096885813"
"tight_fine","-0.02","0.02","0.005","0.551903114186851","0.249172969067677","0.691628954034482","0.549295774647887","0.122837370242215"
"asym_neg_025_015","-0.025","0.015","0.005","0.551903114186851","0.24930089715148","0.691881112820491","0.59375","0.110726643598616"
"asym_neg_03_015","-0.03","0.015","0.005","0.551903114186851","0.249302689394225","0.69188134496875","0.603174603174603","0.108996539792388"
"asym_neg_025_02","-0.025","0.02","0.005","0.551903114186851","0.249242285415885","0.691763706859186","0.590909090909091","0.114186851211073"
"asym_neg_03_02","-0.03","0.02","0.005","0.551903114186851","0.24924407765863","0.691763939007444","0.6","0.112456747404844"
"asym_pos_02_03","-0.02","0.03","0.005","0.550173010380623","0.249012647047679","0.691307510554619","0.569444444444444","0.124567474048443"
"narrow_neg","-0.02","0.01","0.005","0.550173010380623","0.249384569471673","0.692050562018451","0.565217391304348","0.119377162629758"
