split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,test_accuracy,published_test_accuracy,published_test_coverage,test_mae,test_rmse,test_r2
0,run_line,2024-02-23,2024-06-22,2024-06-23,2024-07-13,2024-07-14,2024-07-14,1871,283,15,0.6666666666666666,0.5555555555555556,0.6,3.4231684402788027,4.979280074891885,-0.193001874347402
1,run_line,2024-02-23,2024-06-29,2024-06-30,2024-07-24,2024-07-25,2024-07-25,1972,289,8,0.625,0.6666666666666666,0.375,2.8885564582697847,4.783465160532495,-0.15217820007065552
2,run_line,2024-02-23,2024-07-06,2024-07-07,2024-07-31,2024-08-01,2024-08-01,2067,291,5,1.0,1.0,0.6,2.761560652607933,3.508229289629522,0.3101080297861848
3,run_line,2024-02-23,2024-07-13,2024-07-14,2024-08-07,2024-08-08,2024-08-08,2156,285,10,0.3,0.25,0.4,4.026262427756511,5.075523389067884,-1.331306576739832
4,run_line,2024-02-23,2024-07-24,2024-07-25,2024-08-14,2024-08-15,2024-08-15,2251,279,7,0.8571428571428571,1.0,0.42857142857142855,3.2886916843839793,4.941782328576201,-0.7807134175124595
5,run_line,2024-02-23,2024-07-31,2024-08-01,2024-08-21,2024-08-22,2024-08-22,2342,275,10,0.7,0.75,0.4,4.733658633612964,5.5222193818165355,-0.5239833533688252
6,run_line,2024-02-23,2024-08-07,2024-08-08,2024-08-28,2024-08-29,2024-08-29,2438,282,11,0.7272727272727273,0.8333333333333334,0.5454545454545454,2.2085039518926703,2.6510585923390884,0.16627302856685877
7,run_line,2024-02-23,2024-08-14,2024-08-15,2024-09-04,2024-09-05,2024-09-05,2534,283,9,0.7777777777777778,0.6666666666666666,0.6666666666666666,1.9621697380854597,2.4808413116702868,-0.10782325046419072
8,run_line,2024-02-23,2024-08-21,2024-08-22,2024-09-11,2024-09-12,2024-09-12,2627,285,8,0.5,0.6,0.625,2.4895509158582803,3.0255144961481477,-0.11164939250429828
9,run_line,2024-02-23,2024-08-28,2024-08-29,2024-09-18,2024-09-19,2024-09-19,2720,282,12,0.6666666666666666,0.875,0.6666666666666666,3.7581821218912776,5.99611461130673,-0.03711703169017477
10,run_line,2024-02-23,2024-09-04,2024-09-05,2024-09-25,2024-09-26,2024-09-26,2810,276,9,0.5555555555555556,0.5,0.2222222222222222,3.84706083206277,4.714943908730799,-0.32598408030978687
11,run_line,2024-02-23,2024-09-11,2024-09-12,2024-10-02,2024-10-03,2024-10-03,2873,246,1,0.0,0.0,0.0,1.7686950568467767,1.7686950568467767,
12,run_line,2024-02-23,2024-09-18,2024-09-19,2024-10-10,2024-10-11,2024-10-11,2890,170,1,1.0,0.0,0.0,3.465187319129063,3.465187319129063,
13,run_line,2024-02-23,2024-09-25,2024-09-26,2024-10-17,2024-10-18,2024-10-18,2899,89,2,0.5,0.5,1.0,3.7155392055484104,3.9059171753781134,0.046488188692891175
15,run_line,2024-02-23,2024-10-10,2024-10-11,2025-02-25,2025-02-26,2025-02-26,2969,79,16,0.375,0.5,0.375,4.171526466674084,4.667888992809585,-0.23873685058702598
16,run_line,2024-02-23,2024-10-17,2024-10-18,2025-03-04,2025-03-05,2025-03-05,3073,174,13,0.6923076923076923,0.8,0.38461538461538464,2.9461317157378386,3.8140064649628496,0.07787582213145106
