split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,test_accuracy,published_test_accuracy,published_test_coverage,test_mae,test_rmse,test_r2
0,totals,2024-02-23,2024-06-22,2024-06-23,2024-07-13,2024-07-14,2024-07-14,1871,283,15,0.0,0.0,0.0,3.690024635943312,4.372427084421223,0.1403723647221099
1,totals,2024-02-23,2024-06-29,2024-06-30,2024-07-24,2024-07-25,2024-07-25,1972,289,8,0.0,0.0,0.0,4.424472963458741,4.602570895500356,-0.1617430730752738
2,totals,2024-02-23,2024-07-06,2024-07-07,2024-07-31,2024-08-01,2024-08-01,2067,291,5,0.0,0.0,0.0,1.6123850731479679,2.115669412472207,0.13921979560182807
3,totals,2024-02-23,2024-07-13,2024-07-14,2024-08-07,2024-08-08,2024-08-08,2156,285,10,0.0,0.0,0.0,4.38684446286857,5.543729845191251,-0.8728178303756378
4,totals,2024-02-23,2024-07-24,2024-07-25,2024-08-14,2024-08-15,2024-08-15,2251,279,7,0.0,0.0,0.0,4.16262844417035,4.417038702530765,-0.021368925302434283
5,totals,2024-02-23,2024-07-31,2024-08-01,2024-08-21,2024-08-22,2024-08-22,2342,275,10,0.0,0.0,0.0,3.008418804871605,3.4222605271146356,-0.3293833275195166
6,totals,2024-02-23,2024-08-07,2024-08-08,2024-08-28,2024-08-29,2024-08-29,2438,282,11,0.0,0.0,0.0,4.935948108352819,5.961679446562671,-0.040788054368756654
7,totals,2024-02-23,2024-08-14,2024-08-15,2024-09-04,2024-09-05,2024-09-05,2534,283,9,0.0,0.0,0.0,3.004369038382224,3.786184946418441,-0.28730699814560356
8,totals,2024-02-23,2024-08-21,2024-08-22,2024-09-11,2024-09-12,2024-09-12,2627,285,8,0.0,0.0,0.0,2.557590947820378,3.5001200396332135,-1.2337714492247533
9,totals,2024-02-23,2024-08-28,2024-08-29,2024-09-18,2024-09-19,2024-09-19,2720,282,12,0.0,0.0,0.0,5.957142605741293,7.151782957222478,-0.16318886975353397
10,totals,2024-02-23,2024-09-04,2024-09-05,2024-09-25,2024-09-26,2024-09-26,2810,276,9,0.0,0.0,0.0,3.0239865444613554,3.807070190539103,0.03295184654777028
11,totals,2024-02-23,2024-09-11,2024-09-12,2024-10-02,2024-10-03,2024-10-03,2873,246,1,0.0,0.0,0.0,2.464946150015077,2.464946150015077,
12,totals,2024-02-23,2024-09-18,2024-09-19,2024-10-10,2024-10-11,2024-10-11,2890,170,1,0.0,0.0,0.0,8.2405516462705,8.2405516462705,
13,totals,2024-02-23,2024-09-25,2024-09-26,2024-10-17,2024-10-18,2024-10-18,2899,89,2,0.0,0.0,0.0,7.790008601156525,8.139949970496302,-15.564696380545687
15,totals,2024-02-23,2024-10-10,2024-10-11,2025-02-25,2025-02-26,2025-02-26,2969,79,16,0.0,0.0,0.0,3.257003911986727,3.987634443202965,-0.14894566296087142
16,totals,2024-02-23,2024-10-17,2024-10-18,2025-03-04,2025-03-05,2025-03-05,3073,174,13,0.0,0.0,0.0,4.817736246947709,6.021465576762377,-0.3794709725282963
17,totals,2024-02-23,2024-10-29,2024-10-30,2025-03-11,2025-03-12,2025-03-12,3176,269,11,0.0,0.0,0.0,4.481648475508709,5.160432259814742,-0.07479566180271502
18,totals,2024-02-23,2025-02-25,2025-02-26,2025-03-18,2025-03-19,2025-03-19,3276,307,13,0.0,0.0,0.0,3.3238889144545762,4.316297517519587,-0.38458298148506254
19,totals,2024-02-23,2025-03-04,2025-03-05,2025-03-25,2025-03-27,2025-03-27,3367,294,14,0.0,0.0,0.0,2.4617520782817093,3.2321948565280447,-0.11770108283351743
20,totals,2024-02-23,2025-03-11,2025-03-12,2025-04-02,2025-04-03,2025-04-03,3460,284,5,0.0,0.0,0.0,5.260073614354384,5.621418188421928,-0.08220350853153668
21,totals,2024-02-23,2025-03-18,2025-03-19,2025-04-09,2025-04-10,2025-04-10,3549,273,6,0.0,0.0,0.0,2.570853618057443,2.890268822091368,-0.5996358462889535
22,totals,2024-02-23,2025-03-25,2025-03-27,2025-04-16,2025-04-17,2025-04-17,3639,272,10,0.0,0.0,0.0,2.785406666871156,3.8916688849144543,0.08983853907383943
23,totals,2024-02-23,2025-04-02,2025-04-03,2025-04-23,2025-04-24,2025-04-24,3731,271,9,0.0,0.0,0.0,2.7015254781064835,3.4067255207480467,-0.33532397822585236
24,totals,2024-02-23,2025-04-09,2025-04-10,2025-04-30,2025-05-01,2025-05-01,3823,274,11,0.0,0.0,0.0,2.795476092653459,3.2191776136560564,-0.2390668433794274
25,totals,2024-02-23,2025-04-16,2025-04-17,2025-05-07,2025-05-08,2025-05-08,3918,279,9,0.0,0.0,0.0,2.3076822906629086,2.5337840835498517,0.109546225434768
26,totals,2024-02-23,2025-04-23,2025-04-24,2025-05-14,2025-05-15,2025-05-15,4013,282,6,0.0,0.0,0.0,4.564001306682332,5.815857818670242,0.15906679695334258
27,totals,2024-02-23,2025-04-30,2025-05-01,2025-05-21,2025-05-22,2025-05-22,4104,281,8,0.0,0.0,0.0,4.734412959197581,5.182972365959804,0.03141128847132946
28,totals,2024-02-23,2025-05-07,2025-05-08,2025-05-28,2025-05-29,2025-05-29,4199,281,5,0.0,0.0,0.0,3.711006564521134,4.456810728237387,-3.004669731316909
29,totals,2024-02-23,2025-05-14,2025-05-15,2025-06-04,2025-06-05,2025-06-05,4285,272,13,0.0,0.0,0.0,3.5503285324712235,4.904288919475476,-0.10216822591149666
30,totals,2024-02-23,2025-05-21,2025-05-22,2025-06-11,2025-06-12,2025-06-12,4382,278,8,0.0,0.0,0.0,4.94692100333975,5.815112584316729,-0.11384158495617225
31,totals,2024-02-23,2025-05-28,2025-05-29,2025-06-18,2025-06-19,2025-06-19,4469,270,16,0.0,0.0,0.0,3.6079445251045907,4.320384641140468,-0.09823608424155994
32,totals,2024-02-23,2025-06-04,2025-06-05,2025-06-25,2025-06-26,2025-06-26,4569,284,9,0.0,0.0,0.0,4.2908412604351005,4.7979503579618,-0.17717584509768103
33,totals,2024-02-23,2025-06-11,2025-06-12,2025-07-02,2025-07-03,2025-07-03,4661,279,10,0.0,0.0,0.0,4.160015114741519,5.14269222501075,-0.1493821521593226
34,totals,2024-02-23,2025-06-18,2025-06-19,2025-07-09,2025-07-10,2025-07-10,4755,286,10,0.0,0.0,0.0,2.1484109800029096,3.012086117250541,-0.1050746379699683
35,totals,2024-02-23,2025-06-25,2025-06-26,2025-07-19,2025-07-20,2025-07-20,4842,273,15,0.0,0.0,0.0,2.6174898146879757,3.1034786389383746,-0.13105711066180947
36,totals,2024-02-23,2025-07-02,2025-07-03,2025-07-26,2025-07-27,2025-07-27,4937,276,15,0.0,0.0,0.0,2.6160502736266906,3.154110698275901,-0.411345029520908
37,totals,2024-02-23,2025-07-09,2025-07-10,2025-08-02,2025-08-03,2025-08-03,5031,276,14,0.0,0.0,0.0,2.974537247301209,3.871196080180731,0.12188724009671026
38,totals,2024-02-23,2025-07-19,2025-07-20,2025-08-09,2025-08-10,2025-08-10,5123,281,15,0.0,0.0,0.0,3.482374779276727,5.267932303812391,-0.23253058042810482
39,totals,2024-02-23,2025-07-26,2025-07-27,2025-08-16,2025-08-17,2025-08-17,5216,279,15,0.0,0.0,0.0,2.989063241746176,4.259411437641485,-0.3227744017822416
40,totals,2024-02-23,2025-08-02,2025-08-03,2025-08-23,2025-08-24,2025-08-24,5311,280,15,0.0,0.0,0.0,3.3643090718877007,4.102082651931347,-0.2561690340866376
41,totals,2024-02-23,2025-08-09,2025-08-10,2025-08-30,2025-08-31,2025-08-31,5407,284,15,0.0,0.0,0.0,3.4248124998084157,3.8435224894507143,-0.07777226120477265
42,totals,2024-02-23,2025-08-16,2025-08-17,2025-09-06,2025-09-07,2025-09-07,5500,284,15,0.0,0.0,0.0,3.041916029698811,3.7107897706203548,0.051365228906414706
43,totals,2024-02-23,2025-08-23,2025-08-24,2025-09-13,2025-09-14,2025-09-14,5595,284,15,0.0,0.0,0.0,2.807559623819318,3.4490222771310433,0.07832479327379582
44,totals,2024-02-23,2025-08-30,2025-08-31,2025-09-20,2025-09-21,2025-09-21,5691,284,15,0.0,0.0,0.0,3.1833384624401257,3.6594212701360247,-0.32733784461360793
45,totals,2024-02-23,2025-09-06,2025-09-07,2025-09-27,2025-09-28,2025-09-28,5781,281,15,0.0,0.0,0.0,4.150451964319098,4.775603540836016,0.02813682474806134
