split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,missing_pitchers_rate_test,test_accuracy_at_050,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
0,yrfi,2024-02-23,2024-06-22,2024-06-23,2024-07-13,2024-07-14,2024-07-14,1588,283,15,0.2,0.8,0.0,0.59,0.06,0.6119402985074627,0.23674911660777384,0.5588235294117647,0.12014134275618374,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4416961130742049,0.0,0.558303886925795,0.24759552198126836,0.6883686870624935,0,0.0,0.0,0.0,0.0,0.0,0.007759717314487633,0.6007067137809188,0.0,0.4666666666666667,0.2624310644152794,0.7182153360859633,0.16071428571428575,0.0,0.0
1,yrfi,2024-02-23,2024-06-29,2024-06-30,2024-07-24,2024-07-25,2024-07-25,1683,289,8,0.35,0.65,0.0,0.56,0.06,0.5757575757575758,0.11418685121107267,0.6666666666666666,0.04152249134948097,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.43944636678200694,0.0,0.5605536332179931,0.24674658841463692,0.68663276725012,0,0.0,0.0,0.0,0.0,0.0,0.007882352941176472,0.6193771626297578,0.0,0.5,0.2536292533475493,0.7004591438458876,0.375,0.0,0.0
2,yrfi,2024-02-23,2024-07-06,2024-07-07,2024-07-31,2024-08-01,2024-08-01,1776,291,5,0.2,0.8,0.0,0.61,0.06,0.5454545454545454,0.037800687285223365,0.6666666666666666,0.020618556701030927,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.46048109965635736,0.0,0.5395189003436426,0.25141156078693655,0.6961131576530558,0,0.0,0.0,0.0,0.0,0.0,0.007333333333333335,0.584192439862543,0.0,0.2,0.2737549079137342,0.7407481444164913,0.5,0.0,0.0
3,yrfi,2024-02-23,2024-07-13,2024-07-14,2024-08-07,2024-08-08,2024-08-08,1871,285,10,0.2,0.8,0.0,0.63,0.06,0.4782608695652174,0.24210526315789474,0.4782608695652174,0.24210526315789474,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.49473684210526314,0.0,0.4807017543859649,0.2597820820922393,0.7133124439390341,0,0.0,0.0,0.0,0.0,0.0,0.006912280701754387,0.5684210526315789,0.0,0.5,0.2518699069729885,0.696889614284793,0.5625,0.0,0.0
4,yrfi,2024-02-23,2024-07-24,2024-07-25,2024-08-14,2024-08-15,2024-08-15,1972,279,7,0.8,0.2,0.0,0.56,0.06,0.5194805194805194,0.27598566308243727,0.5131578947368421,0.2724014336917563,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5519713261648745,0.0,0.5519713261648745,0.24788875502788899,0.6889307682574032,0,0.0,0.0,0.0,0.0,0.0,0.0016057347670250899,0.4014336917562724,0.0,0.5714285714285714,0.24412813070393943,0.6813525163457225,0.5833333333333334,0.0,0.0
5,yrfi,2024-02-23,2024-07-31,2024-08-01,2024-08-21,2024-08-22,2024-08-22,2067,275,10,0.8,0.2,0.0,0.56,0.06,0.5423728813559322,0.21454545454545454,0.5416666666666666,0.17454545454545456,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5345454545454545,0.0,0.4618181818181818,0.2523081611021315,0.6977824448069331,0,0.0,0.0,0.0,0.0,0.0,0.0030254545454545456,0.4690909090909091,0.0,0.2,0.27284942537248463,0.738928780288034,0.3125,0.0,0.0
6,yrfi,2024-02-23,2024-08-07,2024-08-08,2024-08-28,2024-08-29,2024-08-29,2156,282,11,0.2,0.8,0.0,0.56,0.06,0.6363636363636364,0.03900709219858156,0.4,0.01773049645390071,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5354609929078015,0.0,0.5354609929078015,0.2501362345877678,0.6934331353835435,0,0.0,0.0,0.0,0.0,0.0,0.0016028368794326242,0.40070921985815605,0.0,0.09090909090909091,0.2755877546034231,0.7443859734534808,1.0,0.0,0.0
7,yrfi,2024-02-23,2024-08-14,2024-08-15,2024-09-04,2024-09-05,2024-09-05,2251,283,9,0.5,0.5,0.0,0.55,0.06,0.0,0.0,0.0,0.0,1,0.02,0.08,0.0,0,fallback_default,global_lr,none,0.0,0.49469964664310956,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.2506814337285019,0.694509940288146,1.0,0.0,0.0
8,yrfi,2024-02-23,2024-08-21,2024-08-22,2024-09-11,2024-09-12,2024-09-12,2342,285,8,0.2,0.8,0.0,0.55,0.06,0.5454545454545454,0.07719298245614035,0.6153846153846154,0.0456140350877193,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5017543859649123,0.0,0.5263157894736842,0.24819438778043443,0.6895346219638283,0,0.0,0.0,0.0,0.0,0.0,0.004350877192982457,0.49122807017543857,0.0,0.375,0.26998885378870097,0.733241397894201,0.0,0.0,0.0
9,yrfi,2024-02-23,2024-08-28,2024-08-29,2024-09-18,2024-09-19,2024-09-19,2438,282,12,0.35,0.65,0.0,0.61,0.06,0.6363636363636364,0.03900709219858156,0.6666666666666666,0.010638297872340425,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4574468085106383,0.0,0.5390070921985816,0.25134945240643525,0.6959815569483381,0,0.0,0.0,0.0,0.0,0.0,0.006893617021276595,0.5638297872340425,0.0,0.5,0.24758603563620143,0.6882941261647596,0.6666666666666667,0.0,0.0
