sport,date,game_id,home_team,away_team,status,expected_markets,missing_expected_markets,missing_expected_count,priority_score,spread_market,odds_over_under,corners_line,closing_spread_line,closing_total_line,closing_moneyline_odds,home_moneyline_odds,draw_moneyline_odds,away_moneyline_odds,closing_spread_odds,closing_total_odds,closing_q1_odds,closing_f5_odds,closing_home_over_odds,closing_corners_odds,closing_btts_odds,source_book,source_timestamp,notes
kbo,2026-03-21,13227,LOT,HAN,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
kbo,2026-03-21,13228,DOO,KIA,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
kbo,2026-03-21,13229,SAM,LG,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
kbo,2026-03-21,13230,KTW,NCD,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833291,ARI,TEX,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833292,BAL,PHI,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833293,BOS,ATL,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833294,CIN,CHW,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833295,DET,NYY,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833296,KC,COL,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833297,LAD,ATH,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833298,MIL,SD,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833299,NYM,HOU,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833300,PIT,TOR,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833301,SF,CLE,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833302,SEA,CHC,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833303,STL,MIA,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833304,TB,MIN,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
mlb,2026-03-21,401833305,WSH,NYM,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540364,UCIRV,OREST,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540415,WASHST,GCANYN,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540467,SMISS,TROY,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540521,BGSU,OHIO,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540585,TNTECH,UALR,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540685,TULANE,MEM,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540740,NMST,LATECH,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540794,NWST,UNO,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540844,HIGHPT,PRESBY,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540900,SCAR,ARK,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540943,COLUMB,HARV,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540944,COLUMB,HARV,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6540991,JAXST,WKY,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541063,MILWKE,WRIGHT,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-21,6541087,FORDHM,RICH,NO_PRICE,"f5,full_game,q1_yrfi,spread,total","f5,full_game,q1_yrfi,spread,total",5,57,ML,0.0,,,,,,,,,,,,,,,,,
