sport,date,game_id,closing_spread_line,closing_total_line,odds_over_under,source_provider,closing_total_odds
nba,2026-03-28,401810931,18.5,226.5,226.5,Draft Kings,-110.0
nba,2026-03-27,401810921,8.5,236.5,236.5,Draft Kings,-108.0
nba,2026-03-27,401810922,-4.5,224.5,224.5,Draft Kings,-108.0
nba,2026-03-27,401810923,-5.5,241.5,241.5,Draft Kings,-108.0
nba,2026-03-27,401810924,13.5,228.5,228.5,Draft Kings,-112.0
nba,2026-03-27,401810925,-19.5,239.5,239.5,Draft Kings,-110.0
nba,2026-03-27,401810926,-8.5,228.5,228.5,Draft Kings,-112.0
nba,2026-03-27,401810927,-19.5,246.5,246.5,Draft Kings,-110.0
nba,2026-03-27,401810928,-12.5,230.5,230.5,Draft Kings,-110.0
nba,2026-03-27,401810929,-10.5,241.5,241.5,Draft Kings,-108.0
nba,2026-03-27,401810930,-18.5,224.5,224.5,Draft Kings,-108.0
mlb,2026-03-27,401814721,3.5,4.5,4.5,DraftKings - Live Odds,-167.0
mlb,2026-03-27,401814688,-1.5,8.5,8.5,DraftKings,-120.0
mlb,2026-03-27,401814690,-1.5,8.0,8.0,DraftKings,-105.0
mlb,2026-03-27,401814691,-1.5,7.5,7.5,DraftKings,-115.0
mlb,2026-03-27,401814703,-1.5,8.5,8.5,DraftKings,-118.0
mlb,2026-03-27,401814705,-1.5,7.0,7.0,DraftKings,-105.0
mlb,2026-03-27,401814706,-1.5,7.5,7.5,DraftKings,-105.0
mlb,2026-03-27,401814704,-1.5,8.5,8.5,DraftKings,-120.0
mlb,2026-03-28,401814716,1.5,7.5,7.5,DraftKings,100.0
mlb,2026-03-28,401814717,-1.5,9.5,9.5,DraftKings,-108.0
mlb,2026-03-28,401814707,-1.5,8.5,8.5,DraftKings,-105.0
mlb,2026-03-28,401814711,-1.5,7.5,7.5,DraftKings,-115.0
mlb,2026-03-28,401814713,1.5,7.5,7.5,DraftKings,-110.0
mlb,2026-03-28,401814708,1.5,8.0,8.0,DraftKings,-112.0
mlb,2026-03-28,401814709,-1.5,7.5,7.5,DraftKings,-110.0
mlb,2026-03-28,401814712,-1.5,8.0,8.0,DraftKings,-102.0
mlb,2026-03-28,401814714,-1.5,8.5,8.5,DraftKings,-112.0
mlb,2026-03-28,401814715,-1.5,8.0,8.0,DraftKings,-110.0
mlb,2026-03-28,401814710,-1.5,8.0,8.0,DraftKings,-119.0
mlb,2026-03-28,401814734,1.5,8.5,8.5,DraftKings,-102.0
mlb,2026-03-28,401814720,1.5,8.5,8.5,DraftKings,-102.0
mlb,2026-03-28,401814718,-1.5,8.5,8.5,DraftKings,-115.0
mlb,2026-03-28,401814719,-1.5,7.0,7.0,DraftKings,-125.0
nhl,2026-03-27,401803501,-1.5,6.5,6.5,Draft Kings,110.0
nhl,2026-03-27,401803502,-1.5,6.5,6.5,Draft Kings,110.0
liga_mx,2026-04-05,401840931,-1.5,2.5,2.5,DraftKings,-160.0
nhl,2026-03-28,401803503,-1.5,6.5,6.5,Draft Kings,114.0
nhl,2026-03-28,401803504,-1.5,5.5,5.5,Draft Kings,-118.0
nhl,2026-03-28,401803505,-1.5,6.5,6.5,Draft Kings,-142.0
nhl,2026-03-28,401803506,1.5,6.5,6.5,Draft Kings,105.0
nhl,2026-03-28,401803507,1.5,5.5,5.5,Draft Kings,-122.0
nhl,2026-03-28,401803508,-1.5,6.5,6.5,Draft Kings,100.0
nhl,2026-03-28,401803509,-1.5,6.5,6.5,Draft Kings,-110.0
nhl,2026-03-28,401803510,-1.5,6.5,6.5,Draft Kings,100.0
nhl,2026-03-28,401803511,-1.5,5.5,5.5,Draft Kings,-122.0
nhl,2026-03-28,401803512,1.5,6.5,6.5,Draft Kings,-110.0
nhl,2026-03-28,401803513,-1.5,6.5,6.5,Draft Kings,114.0
nhl,2026-03-28,401803514,-1.5,5.5,5.5,Draft Kings,-135.0
nhl,2026-03-28,401803515,-1.5,5.5,5.5,Draft Kings,-118.0
nhl,2026-03-28,401803516,-1.5,5.5,5.5,Draft Kings,-130.0
nhl,2026-03-28,401803517,-1.5,5.5,5.5,Draft Kings,-135.0
liga_mx,2026-04-03,401840923,0.5,2.5,2.5,DraftKings,-115.0
liga_mx,2026-04-03,401840924,-0.5,2.5,2.5,DraftKings,-160.0
liga_mx,2026-04-03,401840925,0.5,2.5,2.5,DraftKings,-140.0
liga_mx,2026-04-04,401840926,-1.5,2.5,2.5,DraftKings,-180.0
liga_mx,2026-04-04,401840927,-0.5,2.5,2.5,DraftKings,-155.0
liga_mx,2026-04-04,401840928,-0.5,2.5,2.5,DraftKings,-130.0
liga_mx,2026-04-04,401840929,0.5,2.5,2.5,DraftKings,-175.0
laliga,2026-04-05,748435,0.5,1.5,1.5,DraftKings,-160.0
