league,home_team,away_team,event_time,home_decimal_odds,away_decimal_odds,source_url
KBO - Pretemporada,SSG Landers,Kiwoom Heroes,,1.55,2.3,https://www.flashscore.com.mx/partido/beisbol/kiwoom-heroes-xjpHPEWl/ssg-landers-fRfCQfHr/?mid=tE7HZtTF
MLB - Spring Training,Houston Astros,St. Louis Cardinals,,1.73,2.15,https://www.flashscore.com.mx/partido/beisbol/houston-astros-lfZXonNq/st-louis-cardinals-IDVz16ES/?mid=prqDeTTF
MLB - Spring Training,Minnesota Twins,Atlanta Braves,,1.75,2.1,https://www.flashscore.com.mx/partido/beisbol/atlanta-braves-0UPxbDYA/minnesota-twins-OjWW1naM/?mid=IesLg7bS
MLB - Spring Training,New York Yankees,Philadelphia Phillies,,1.73,2.15,https://www.flashscore.com.mx/partido/beisbol/new-york-yankees-SrC4LDIT/philadelphia-phillies-QTNHA4p4/?mid=p6RanPj2
MLB - Spring Training,Pittsburgh Pirates,Boston Red Sox,,1.91,1.91,https://www.flashscore.com.mx/partido/beisbol/boston-red-sox-zaXTinF3/pittsburgh-pirates-tr9K2SqG/?mid=jqj4cka3
MLB - Spring Training,Toronto Blue Jays,Tampa Bay Rays,,1.55,2.5,https://www.flashscore.com.mx/partido/beisbol/tampa-bay-rays-GCHgI4hp/toronto-blue-jays-zcDLaZ3b/?mid=OlG13Wqp
MLB - Spring Training,Miami Marlins,New York Mets,,2.35,1.62,https://www.flashscore.com.mx/partido/beisbol/miami-marlins-ddxzWOqT/new-york-mets-I5wWW4UM/?mid=xtOiloMk
MLB - Spring Training,Baltimore Orioles,Washington Nationals,,1.6,2.38,https://www.flashscore.com.mx/partido/beisbol/baltimore-orioles-EcZwBi3N/washington-nationals-CE026gRp/?mid=OxbIZo7d
MLB - Spring Training,Chicago Cubs,Milwaukee Brewers,,1.44,2.85,https://www.flashscore.com.mx/partido/beisbol/chicago-cubs-j7ZnBQFi/milwaukee-brewers-CGzqC60o/?mid=nmJU9JlQ
MLB - Spring Training,Cleveland Guardians,Cincinnati Reds,,1.75,2.1,https://www.flashscore.com.mx/partido/beisbol/cincinnati-reds-EkWXj6U9/cleveland-guardians-4K05MrFG/?mid=Q14nASr9
MLB - Spring Training,Colorado Rockies,Athletics,14:10,2.1,1.77,https://www.flashscore.com.mx/partido/beisbol/athletics-xIYDcQid/colorado-rockies-naYhNOaA/?mid=hUZRkbcf
MLB - Spring Training,Chicago White Sox,Seattle Mariners,19:05,1.95,1.9,https://www.flashscore.com.mx/partido/beisbol/chicago-white-sox-SW9D1eZo/seattle-mariners-txYPhSac/?mid=M9RrnGdJ
MLB - Spring Training,Los Angeles Angels,Los Angeles Dodgers,19:07,2.5,1.55,https://www.flashscore.com.mx/partido/beisbol/los-angeles-angels-Mg9H0Flh/los-angeles-dodgers-nwPDBpVc/?mid=d2tJiKSs
MLB - Spring Training,San Diego Padres,Arizona Diamondbacks,19:10,1.7,2.2,https://www.flashscore.com.mx/partido/beisbol/arizona-diamondbacks-8bP2bXmH/san-diego-padres-8poQN9Ud/?mid=QsYZmxS6
