sport,league,home_team,away_team,home_decimal_odds,away_decimal_odds,source_url
nba,NBA,Memphis Grizzlies,Houston Rockets,7.25,1.11,https://www.flashscore.com.mx/partido/basquetbol/houston-rockets-Sr9PQALP/memphis-grizzlies-U1I5YSDa/?mid=GlSCb6gR
nba,NBA,Oklahoma City Thunder,Chicago Bulls,1.04,13.0,https://www.flashscore.com.mx/partido/basquetbol/chicago-bulls-bPjc49q0/oklahoma-city-thunder-0fHFHEWD/?mid=zZ8qgpHl
nba,NBA,Toronto Raptors,New Orleans Pelicans,1.29,3.7,https://www.flashscore.com.mx/partido/basquetbol/new-orleans-pelicans-U3yc9SkP/toronto-raptors-CxtbCMdU/?mid=6H5kVbo3
nba,NBA,Denver Nuggets,Utah Jazz,1.05,12.0,https://www.flashscore.com.mx/partido/basquetbol/denver-nuggets-CxvW27TI/utah-jazz-hGuCX5Su/?mid=raCiiOo1
nba,NBA,Golden State Warriors,Washington Wizards,1.13,6.5,https://www.flashscore.com.mx/partido/basquetbol/golden-state-warriors-SxUtXqch/washington-wizards-W6vGWPsn/?mid=4E00k2GD
nba,NBA,Portland Trail Blazers,Dallas Mavericks,1.2,4.75,https://www.flashscore.com.mx/partido/basquetbol/dallas-mavericks-YouS3mEC/portland-trail-blazers-4Awl14c5/?mid=dM2oD58K
nba,NBA,Los Angeles Lakers,Brooklyn Nets,1.05,12.0,https://www.flashscore.com.mx/partido/basquetbol/brooklyn-nets-bsAMUpDO/los-angeles-lakers-ngegZ8bg/?mid=G6qI7qWs
nba,NBA,Milwaukee Bucks,San Antonio Spurs,12.0,1.05,https://www.flashscore.com.mx/partido/basquetbol/milwaukee-bucks-QTBEW6rC/san-antonio-spurs-IwmkErSH/?mid=lKsQ5N0f
nba,NBA,Minnesota Timberwolves,Detroit Pistons,1.74,2.15,https://www.flashscore.com.mx/partido/basquetbol/detroit-pistons-UcjMRj6J/minnesota-timberwolves-KjBIVQcI/?mid=v7Vbiq3b
nba,NBA,Charlotte Hornets,Philadelphia 76ers,1.48,2.75,https://www.flashscore.com.mx/partido/basquetbol/charlotte-hornets-xftMikUg/philadelphia-76ers-vwRW2QSh/?mid=pnyZ31V6
nba,NBA,Atlanta Hawks,Sacramento Kings,1.1,7.5,https://www.flashscore.com.mx/partido/basquetbol/atlanta-hawks-xAO4gBas/sacramento-kings-CvwE1OCB/?mid=jqvs2u0J
