sport,league,home_team,away_team,home_decimal_odds,away_decimal_odds,source_url
nhl,NHL,New York Islanders,Florida Panthers,3.9,3.3,https://www.flashscore.com.mx/partido/hockey/florida-panthers-fc1eq8Pp/new-york-islanders-xESz5TGG/?mid=4Wu0BofE
nhl,NHL,Tampa Bay Lightning,Ottawa Senators,3.8,3.0,https://www.flashscore.com.mx/partido/hockey/ottawa-senators-noTCHmWM/tampa-bay-lightning-YVE3zk1c/?mid=YumeGtef
nhl,NHL,Edmonton Oilers,Anaheim Ducks,3.9,2.8,https://www.flashscore.com.mx/partido/hockey/anaheim-ducks-4CM4ojpD/edmonton-oilers-Mg0qoxeI/?mid=vwj3EKP6
nhl,NHL,Boston Bruins,Minnesota Wild,3.75,2.25,https://www.flashscore.com.mx/partido/hockey/boston-bruins-jeans23J/minnesota-wild-j9Ck7BHi/?mid=zJ2Xhwvm
nhl,NHL,Carolina Hurricanes,New Jersey Devils,4.0,3.65,https://www.flashscore.com.mx/partido/hockey/carolina-hurricanes-Sx0gl0tm/new-jersey-devils-Kh0O591A/?mid=OhEmkewC
nhl,NHL,Columbus Blue Jackets,San Jose Sharks,4.0,3.55,https://www.flashscore.com.mx/partido/hockey/columbus-blue-jackets-0vCzmbQ5/san-jose-sharks-E588Co9j/?mid=p82dmZ7O
nhl,NHL,Pittsburgh Penguins,Dallas Stars,3.75,2.2,https://www.flashscore.com.mx/partido/hockey/dallas-stars-vVAvnIuC/pittsburgh-penguins-AkN0nWU6/?mid=WpdtiH8a
nhl,NHL,Buffalo Sabres,Seattle Kraken,4.0,3.45,https://www.flashscore.com.mx/partido/hockey/buffalo-sabres-UobjtMIP/seattle-kraken-MibYQ5nU/?mid=zXs67xgt
nhl,NHL,Colorado Avalanche,Winnipeg Jets,4.2,4.2,https://www.flashscore.com.mx/partido/hockey/colorado-avalanche-hACAnvBa/winnipeg-jets-r3L8pAaJ/?mid=nqDUUuAm
nhl,NHL,Nashville Predators,Montreal Canadiens,3.75,2.25,https://www.flashscore.com.mx/partido/hockey/montreal-canadiens-nu2G7VWc/nashville-predators-QV0K6kn4/?mid=SbWcz2nQ
nhl,NHL,St. Louis Blues,Toronto Maple Leafs,3.75,2.8,https://www.flashscore.com.mx/partido/hockey/st-louis-blues-KSAayVoi/toronto-maple-leafs-ShE7Z8G3/?mid=0hvCCbfJ
