sport,category,league,home_team,away_team,home_decimal_odds,draw_decimal_odds,away_decimal_odds,source_url
laliga,ESPAÑA,LaLiga EA Sports,Barcelona,Rayo Vallecano,1.22,6.8,10.5,https://www.flashscore.com.mx/partido/futbol/fc-barcelona-SKbpVP5K/rayo-vallecano-8bcjFy6O/?mid=UFzMm7to
laliga,ESPAÑA,LaLiga EA Sports,Celta de Vigo,Alavés,1.92,3.25,4.33,https://www.flashscore.com.mx/partido/futbol/alaves-hxt57t2q/celta-vigo-8pvUZFhf/?mid=lWVe0pQj
laliga,ESPAÑA,LaLiga EA Sports,Athletic Club,Real Betis,1.99,3.55,3.6,https://www.flashscore.com.mx/partido/futbol/athletic-club-IP5zl0cJ/real-betis-vJbTeCGP/?mid=bTDl6FdC
laliga,ESPAÑA,LaLiga EA Sports,Real Madrid,Atlético de Madrid,2.0,3.9,3.3,https://www.flashscore.com.mx/partido/futbol/atletico-madrid-jaarqpLQ/real-madrid-W8mj7MDD/?mid=tQIsOmIc
liga_mx,MÉXICO,Liga MX - Clausura,Pachuca,Toluca,3.6,3.85,1.91,https://www.flashscore.com.mx/partido/futbol/pachuca-QT16qrtK/toluca-8hiBr2eQ/?mid=SxRlnVgC
liga_mx,MÉXICO,Liga MX - Clausura,Santos Laguna,Puebla,2.48,3.55,2.66,https://www.flashscore.com.mx/partido/futbol/puebla-pO5ijKm0/santos-laguna-EBPEFrRQ/?mid=6qEG0U85
liga_mx,MÉXICO,Liga MX - Clausura,Juárez,Tigres UANL,3.25,3.5,2.12,https://www.flashscore.com.mx/partido/futbol/juarez-2wZp8NAh/u-a-n-l-Iy4albIC/?mid=ngMOb8wI
liga_mx,MÉXICO,Liga MX Femenil - Clausura,Puebla F,Club América F,33.0,26.0,1.01,https://www.flashscore.com.mx/partido/futbol/america-AV6aV20j/puebla-8xVqggf5/?mid=rqGvpvdB
liga_mx,MÉXICO,Liga MX Femenil - Clausura,Pumas UNAM F,Pachuca F,5.3,4.2,1.55,https://www.flashscore.com.mx/partido/futbol/pachuca-pAYgm4Ei/pumas-unam-xMYREBaD/?mid=AH2Xo0Rb
liga_mx,MÉXICO,Liga MX Femenil - Clausura,Atlético de San Luis F,Tigres UANL F,17.5,5.75,1.19,https://www.flashscore.com.mx/partido/futbol/atletico-san-luis-MH69xw8l/u-a-n-l-U1ymuRr3/?mid=vB9mrIQN
laliga,ESPAÑA,LaLiga Hypermotion,Burgos CF,Córdoba,2.32,3.1,3.2,https://www.flashscore.com.mx/partido/futbol/burgos-cf-vTxTEFi6/cordoba-cf-CWuejruc/?mid=QJcUxkk2
laliga,ESPAÑA,LaLiga Hypermotion,Mirandés,Real Valladolid,3.05,3.25,2.3,https://www.flashscore.com.mx/partido/futbol/mirandes-48Z7G1Sf/real-valladolid-cf-zkpajjvm/?mid=QuZ4kSY7
laliga,ESPAÑA,LaLiga Hypermotion,Real Sociedad B,Granada,2.32,3.05,3.2,https://www.flashscore.com.mx/partido/futbol/granada-EXuxl1xP/r-sociedad-UJOGLItN/?mid=pp6V5mJl
laliga,ESPAÑA,LaLiga Hypermotion,Las Palmas,Real Sporting,1.84,3.4,4.3,https://www.flashscore.com.mx/partido/futbol/las-palmas-IyRQC2vM/sporting-gijon-69w4Rb2d/?mid=6wJ3il4e
liga_mx,MÉXICO,Liga MX U21 - Clausura,Juárez Sub-21,Tigres UANL Sub-21,2.55,3.0,2.7,https://www.flashscore.com.mx/partido/futbol/juarez-YmiFfNy2/u-a-n-l-G6PEWGlJ/?mid=f7uy4URk
liga_mx,MÉXICO,Liga MX U21 - Clausura,Pachuca Sub-21,Toluca Sub-21,5.0,3.9,1.55,https://www.flashscore.com.mx/partido/futbol/pachuca-hSvkxLKs/toluca-niHl9Mje/?mid=AZ349j4S
