game_id,date,season,home_team,away_team,home_elo_pre,away_elo_pre,diff_elo,home_rest_days,away_rest_days,diff_rest_days,home_is_b2b,away_is_b2b,diff_is_b2b,home_games_last_3_days,away_games_last_3_days,diff_games_last_3_days,home_games_last_5_days,away_games_last_5_days,diff_games_last_5_days,home_games_last_7_days,away_games_last_7_days,diff_games_last_7_days,home_win_pct_L5,away_win_pct_L5,diff_win_pct_L5,home_win_pct_L10,away_win_pct_L10,diff_win_pct_L10,home_pts_diff_L5,away_pts_diff_L5,diff_pts_diff_L5,home_pts_diff_L10,away_pts_diff_L10,diff_pts_diff_L10,home_q1_win_pct_L5,away_q1_win_pct_L5,diff_q1_win_pct_L5,home_q1_diff_L5,away_q1_diff_L5,diff_q1_diff_L5,home_pts_scored_L5,away_pts_scored_L5,diff_pts_scored_L5,home_pts_conceded_L5,away_pts_conceded_L5,diff_pts_conceded_L5,home_win_pct_D10,away_win_pct_D10,diff_win_pct_D10,home_pts_diff_D10,away_pts_diff_D10,diff_pts_diff_D10,home_q1_diff_D10,away_q1_diff_D10,diff_q1_diff_D10,home_momentum_win,away_momentum_win,diff_momentum_win,home_momentum_pts,away_momentum_pts,diff_momentum_pts,home_momentum_q1,away_momentum_q1,diff_momentum_q1,home_regression_alert,away_regression_alert,diff_regression_alert,home_home_only_win_pct_L5,away_away_only_win_pct_L5,diff_surface_win_pct_L5,home_home_only_pts_diff_L5,away_away_only_pts_diff_L5,diff_surface_pts_diff_L5,home_home_only_q1_win_pct_L5,away_away_only_q1_win_pct_L5,diff_surface_q1_win_pct_L5,home_win_pct_L10_vs_league,away_win_pct_L10_vs_league,diff_win_pct_L10_vs_league,home_pts_diff_L10_vs_league,away_pts_diff_L10_vs_league,diff_pts_diff_L10_vs_league,home_q1_win_pct_L5_vs_league,away_q1_win_pct_L5_vs_league,diff_q1_win_pct_L5_vs_league,home_spread,spread_abs,home_is_favorite,odds_over_under,market_missing,TARGET_home_win,TARGET_home_win_q1
401584692,2023-10-25,2023-24,IND,WAS,1507.1987000039423,1492.8012999960577,14.397400007884698,5.0,5.0,0.0,0,0,0,0,0,0,1,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,-36.0,41.0,5.0,-36.0,41.0,0.0,0.0,0.0,0.0,-7.0,7.0,109.0,98.0,11.0,104.0,134.0,-30.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,5.0,-36.0,41.0,0.0,0.0,0.0,0.375,-0.625,1.0,4.125,-36.875,41.0,-0.5,-0.5,0.0,0.0,0.0,0,0.0,0,1,0
401584694,2023-10-25,2023-24,ORL,HOU,1507.1987000039423,1507.1987000039423,0.0,5.0,5.0,0.0,0,0,0,0,0,0,1,1,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,33.0,6.0,27.0,33.0,6.0,27.0,1.0,0.0,1.0,16.0,-1.0,17.0,109.0,110.0,-1.0,76.0,104.0,-28.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,33.0,0.0,33.0,1.0,0.0,1.0,0.375,0.375,0.0,32.125,5.125,27.0,0.5,-0.5,1.0,0.0,0.0,0,0.0,0,1,1
401584696,2023-10-25,2023-24,MIA,DET,1492.8012999960577,1492.8012999960577,0.0,5.0,5.0,0.0,0,0,0,0,0,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-10.0,4.0,-6.0,-10.0,4.0,1.0,0.0,1.0,1.0,-13.0,14.0,104.0,104.0,0.0,110.0,114.0,-4.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-10.0,10.0,0.0,0.0,0.0,-0.625,-0.625,0.0,-6.875,-10.875,4.0,0.5,-0.5,1.0,0.0,0.0,0,0.0,0,1,0
401584701,2023-10-25,2023-24,SAS,DAL,1512.8012999960577,1507.1987000039423,5.602599992115302,5.0,5.0,0.0,0,0,0,0,0,0,1,1,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,10.0,-5.0,5.0,10.0,-5.0,1.0,1.0,0.0,9.0,13.0,-4.0,122.0,114.0,8.0,117.0,104.0,13.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,4.125,9.125,-5.0,0.5,0.5,0.0,0.0,0.0,0,0.0,0,0,1
401584703,2023-10-26,2023-24,MIL,PHI,1507.1987000039423,1507.1987000039423,0.0,6.0,6.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,8.0,14.0,-6.0,8.0,14.0,-6.0,1.0,0.0,1.0,6.0,-1.0,7.0,124.0,120.0,4.0,116.0,106.0,10.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,8.0,0.0,8.0,1.0,0.0,1.0,0.25,0.25,0.0,4.5,10.5,-6.0,0.75,-0.25,1.0,0.0,0.0,0,0.0,0,1,1
401584704,2023-10-26,2023-24,LAL,PHX,1492.8012999960577,1512.4583780790251,-19.657078082967473,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,1,1,0,0.0,1.0,-1.0,0.0,1.0,-1.0,-12.0,4.0,-16.0,-12.0,4.0,-16.0,0.0,0.0,0.0,-14.0,0.0,-14.0,107.0,108.0,-1.0,119.0,104.0,15.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-1.0,0.0,4.0,-4.0,0.0,0.0,0.0,-0.75,0.25,-1.0,-15.5,0.5,-16.0,-0.25,-0.25,0.0,0.0,0.0,0,0.0,0,1,0
401584705,2023-10-27,2023-24,CHA,DET,1507.0088927887216,1485.6025999921153,21.406292796606294,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,1,2,-1,1.0,0.0,1.0,1.0,0.0,1.0,6.0,-5.5,11.5,6.0,-5.5,11.5,0.0,0.5,-0.5,-4.0,-5.0,1.0,116.0,103.0,13.0,110.0,108.5,1.5,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,6.0,-5.5,11.5,0.0,0.5,-0.5,0.5,-0.5,1.0,4.568181818181818,-6.931818181818182,11.5,-0.5,0.0,-0.5,0.0,0.0,0,0.0,0,0,0
401584706,2023-10-27,2023-24,MEM,DEN,1480.1920231025056,1507.1987000039423,-27.006676901436776,2.0,3.0,-1.0,0,0,0,1,1,0,1,1,0,2,1,1,0.0,1.0,-1.0,0.0,1.0,-1.0,-7.5,12.0,-19.5,-7.5,12.0,-19.5,0.5,1.0,-0.5,-1.5,14.0,-15.5,110.0,119.0,-9.0,117.5,107.0,10.5,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-7.0,0.0,-7.0,1.0,0.0,1.0,-0.5,0.5,-1.0,-8.931818181818182,10.568181818181818,-19.5,0.0,0.5,-0.5,0.0,0.0,0,0.0,0,0,0
401584707,2023-10-27,2023-24,ATL,NYK,1485.792407207336,1487.1987000039423,-1.4062927966062944,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-4.0,-6.0,-10.0,-4.0,-6.0,1.0,0.0,1.0,2.5,-12.0,14.5,108.0,104.0,4.0,118.0,108.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,-11.431818181818182,-5.431818181818182,-6.0,0.5,-0.5,1.0,0.0,0.0,0,0.0,0,0,0
401584708,2023-10-27,2023-24,BOS,MIA,1512.8012999960577,1500.0,12.80129999605765,2.0,2.0,0.0,0,0,0,1,1,0,1,1,0,1,2,-1,1.0,0.5,0.5,1.0,0.5,0.5,4.0,-2.5,6.5,4.0,-2.5,6.5,1.0,0.5,0.5,12.0,-1.0,13.0,108.0,103.5,4.5,104.0,106.0,-2.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-6.0,6.0,0.0,1.0,-1.0,0.5,0.0,0.5,2.5681818181818183,-3.9318181818181817,6.5,0.5,0.0,0.5,0.0,0.0,0,0.0,0,1,0
