match_id,date,time,tour,tournament,surface,round,player_a,player_b,player_a_rank,player_b_rank,diff_rank,player_a_odds,player_b_odds,player_a_implied_prob,player_b_implied_prob,diff_implied_prob,player_a_matches_before,player_b_matches_before,player_a_win_rate_l5,player_b_win_rate_l5,diff_win_rate_l5,player_a_win_rate_all,player_b_win_rate_all,diff_win_rate_all,player_a_streak,player_b_streak,diff_streak,TARGET_player_a_win
ATP-2023-0301-271,2023-01-09,nan,ATP,Auckland,Hard,R32,Jiri Lehecka,Thiago Monteiro,78.0,69.0,-9.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0301-272,2023-01-09,nan,ATP,Auckland,Hard,R32,Marcos Giron,Federico Coria,60.0,76.0,16.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0301-273,2023-01-09,nan,ATP,Auckland,Hard,R32,Adrian Mannarino,J J Wolf,43.0,66.0,23.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0301-275,2023-01-09,nan,ATP,Auckland,Hard,R32,Fabio Fognini,Jenson Brooksby,57.0,48.0,-9.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0301-276,2023-01-09,nan,ATP,Auckland,Hard,R32,Quentin Halys,Alex Molcan,64.0,54.0,-10.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0301-277,2023-01-09,nan,ATP,Auckland,Hard,R32,Ben Shelton,Sebastian Baez,92.0,41.0,-51.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0301-278,2023-01-09,nan,ATP,Auckland,Hard,R32,David Goffin,Alexander Bublik,53.0,36.0,-17.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0301-279,2023-01-09,nan,ATP,Auckland,Hard,R32,Ugo Humbert,Christopher Eubanks,108.0,123.0,15.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0301-280,2023-01-09,nan,ATP,Auckland,Hard,R32,Richard Gasquet,Kiranpal Pannu,67.0,575.0,508.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0301-282,2023-01-09,nan,ATP,Auckland,Hard,R32,Gregoire Barrere,John Isner,88.0,42.0,-46.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0301-283,2023-01-09,nan,ATP,Auckland,Hard,R32,Constant Lestienne,Pedro Cachin,65.0,59.0,-6.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0301-284,2023-01-09,nan,ATP,Auckland,Hard,R32,Jaume Munar,Laslo Djere,62.0,70.0,8.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0301-286,2023-01-09,nan,ATP,Auckland,Hard,R16,Cameron Norrie,Jiri Lehecka,12.0,78.0,66.0,,,,,,0.0,1.0,,1.0,,,1.0,,0.0,1.0,-1.0,1
ATP-2023-0301-287,2023-01-09,nan,ATP,Auckland,Hard,R16,J J Wolf,Marcos Giron,66.0,60.0,-6.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0
ATP-2023-0301-288,2023-01-09,nan,ATP,Auckland,Hard,R16,Diego Schwartzman,Jenson Brooksby,25.0,48.0,23.0,,,,,,0.0,1.0,,1.0,,,1.0,,0.0,1.0,-1.0,0
ATP-2023-0301-289,2023-01-09,nan,ATP,Auckland,Hard,R16,Quentin Halys,Ben Shelton,64.0,92.0,28.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
ATP-2023-0301-290,2023-01-09,nan,ATP,Auckland,Hard,R16,David Goffin,Christopher Eubanks,53.0,123.0,70.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
ATP-2023-0301-291,2023-01-09,nan,ATP,Auckland,Hard,R16,Richard Gasquet,Joao Sousa,67.0,82.0,15.0,,,,,,1.0,0.0,1.0,,,1.0,,,1.0,0.0,1.0,1
ATP-2023-0301-292,2023-01-09,nan,ATP,Auckland,Hard,R16,Constant Lestienne,Gregoire Barrere,65.0,88.0,23.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
ATP-2023-0301-293,2023-01-09,nan,ATP,Auckland,Hard,R16,Laslo Djere,Casper Ruud,70.0,3.0,-67.0,,,,,,1.0,0.0,1.0,,,1.0,,,1.0,0.0,1.0,1
ATP-2023-0301-294,2023-01-09,nan,ATP,Auckland,Hard,QF,Cameron Norrie,Marcos Giron,12.0,60.0,48.0,,,,,,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,1
ATP-2023-0301-295,2023-01-09,nan,ATP,Auckland,Hard,QF,Jenson Brooksby,Quentin Halys,48.0,64.0,16.0,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1
ATP-2023-0301-296,2023-01-09,nan,ATP,Auckland,Hard,QF,David Goffin,Richard Gasquet,53.0,67.0,14.0,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0
ATP-2023-0301-297,2023-01-09,nan,ATP,Auckland,Hard,QF,Constant Lestienne,Laslo Djere,65.0,70.0,5.0,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1
ATP-2023-0301-298,2023-01-09,nan,ATP,Auckland,Hard,SF,Cameron Norrie,Jenson Brooksby,12.0,48.0,36.0,,,,,,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,-1.0,1
ATP-2023-0301-299,2023-01-09,nan,ATP,Auckland,Hard,SF,Richard Gasquet,Constant Lestienne,67.0,65.0,-2.0,,,,,,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1
ATP-2023-0301-300,2023-01-09,nan,ATP,Auckland,Hard,F,Richard Gasquet,Cameron Norrie,67.0,12.0,-55.0,,,,,,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,1
ATP-2023-0308-271,2023-04-17,nan,ATP,Munich,Clay,R32,Max Hans Rehberg,Marton Fucsovics,412.0,75.0,-337.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
