match_id,date,time,season,tour,tournament,surface,round,player_a,player_b,winner,player_a_sets,player_b_sets,player_a_games,player_b_games,player_a_rank,player_b_rank,player_a_odds,player_b_odds,status_completed,status_state,status_description,status_detail
ATP-2023-0891-271,2023-01-02,,2023,ATP,Pune,Hard,R32,Sasi Kumar Mukund,Flavio Cobolli,Flavio Cobolli,,,,,340.0,171.0,,,1,post,Final,FINAL
ATP-2023-0891-272,2023-01-02,,2023,ATP,Pune,Hard,R32,Elias Ymer,Maximilian Marterer,Maximilian Marterer,,,,,127.0,159.0,,,1,post,Final,FINAL
ATP-2023-0891-273,2023-01-02,,2023,ATP,Pune,Hard,R32,Laslo Djere,Alex Molcan,Laslo Djere,,,,,70.0,50.0,,,1,post,Final,FINAL
ATP-2023-0891-275,2023-01-02,,2023,ATP,Pune,Hard,R32,Chun Hsin Tseng,Benjamin Bonzi,Benjamin Bonzi,,,,,115.0,60.0,,,1,post,Final,FINAL
ATP-2023-0891-276,2023-01-02,,2023,ATP,Pune,Hard,R32,Michael Mmoh,Manas Dhamne,Michael Mmoh,,,,,113.0,,,,1,post,Final,FINAL
ATP-2023-0891-277,2023-01-02,,2023,ATP,Pune,Hard,R32,Filip Krajinovic,Sumit Nagal,Filip Krajinovic,,,,,54.0,503.0,,,1,post,Final,FINAL
ATP-2023-0891-278,2023-01-02,,2023,ATP,Pune,Hard,R32,Pablo Andujar,Aslan Karatsev,Aslan Karatsev,,,,,121.0,59.0,,,1,post,Final,FINAL
ATP-2023-0891-279,2023-01-02,,2023,ATP,Pune,Hard,R32,Tim Van Rijthoven,Radu Albot,Tim Van Rijthoven,,,,,111.0,103.0,,,1,post,Final,FINAL
ATP-2023-0891-280,2023-01-02,,2023,ATP,Pune,Hard,R32,Pedro Martinez,Ramkumar Ramanathan,Pedro Martinez,,,,,62.0,435.0,,,1,post,Final,FINAL
ATP-2023-0891-282,2023-01-02,,2023,ATP,Pune,Hard,R32,Tallon Griekspoor,Jaume Munar,Tallon Griekspoor,,,,,95.0,58.0,,,1,post,Final,FINAL
