split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
0,f5,2024-02-23,2024-03-21,2024-03-22,2024-03-29,2024-03-30,2024-03-30,374,87,15,0.2,0.8,0.0,0.57,0.0,0.5555555555555556,0.20689655172413793,0.5,0.13793103448275862,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4942528735632184,0.0,0.6206896551724138,0.2420502206572608,0.6772062148394496,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00471264367816092,0.6896551724137931,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6206896551724138,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.4666666666666667,0.2442290013784016,0.681168418885834,0.5357142857142857,1.0,0.13333333333333333
1,f5,2024-02-23,2024-03-24,2024-03-25,2024-04-01,2024-04-02,2024-04-02,418,87,13,0.65,0.35,0.0,0.61,0.0,0.7857142857142857,0.16091954022988506,0.0,0.0,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.45977011494252873,0.0,0.5747126436781609,0.2395371340903413,0.6719971659207047,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005114942528735633,0.7586206896551724,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5747126436781609,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,0.2758346813635684,0.7457360111397247,0.5,0.0,0.0
2,f5,2024-02-23,2024-03-28,2024-03-29,2024-04-04,2024-04-05,2024-04-05,451,86,13,0.2,0.8,0.0,0.55,0.0,0.5263157894736842,0.22093023255813954,0.625,0.09302325581395349,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.45348837209302323,0.0,0.5465116279069767,0.24778106715275028,0.6887021040453123,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004337209302325581,0.7209302325581395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5465116279069767,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.6923076923076923,0.2349789541879141,0.6630333916784644,0.41666666666666663,0.0,0.0
3,f5,2024-02-23,2024-03-31,2024-04-01,2024-04-07,2024-04-08,2024-04-08,491,88,13,0.5,0.5,0.0,0.63,0.0,0.7083333333333334,0.2727272727272727,1.0,0.03409090909090909,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.3977272727272727,0.0,0.6022727272727273,0.23597963661258198,0.6646796599176049,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004681818181818182,0.7727272727272727,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6022727272727273,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,0.2707150001985163,0.7353942520368457,0.3571428571428571,0.0,0.0
4,f5,2024-02-23,2024-04-03,2024-04-04,2024-04-10,2024-04-11,2024-04-11,531,89,5,0.35,0.65,0.0,0.61,0.0,0.6363636363636364,0.12359550561797752,0.0,0.0,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.39325842696629215,0.0,0.6067415730337079,0.23858262451287213,0.6701332634265827,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004775280898876405,0.7303370786516854,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6067415730337079,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2843539704376966,0.7632139343250598,0.0,0.0,0.0
5,f5,2024-02-23,2024-04-06,2024-04-07,2024-04-13,2024-04-14,2024-04-14,565,91,15,0.35,0.65,0.0,0.62,0.0,0.7647058823529411,0.18681318681318682,0.75,0.04395604395604396,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4175824175824176,0.0,0.5824175824175825,0.23924785347192254,0.6712243996318581,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004835164835164836,0.7032967032967034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5824175824175825,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.2566695749334289,0.7067975373137869,0.4107142857142857,0.5,0.13333333333333333
6,f5,2024-02-23,2024-04-09,2024-04-10,2024-04-16,2024-04-17,2024-04-17,607,93,16,0.2,0.8,0.0,0.6,0.0,0.72,0.26881720430107525,0.6666666666666666,0.06451612903225806,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.41935483870967744,0.0,0.5806451612903226,0.2396475128983662,0.6721370739063548,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005451612903225806,0.7204301075268817,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5806451612903226,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.4375,0.25339972933774546,0.6992766207841159,0.6666666666666667,1.0,0.125
7,f5,2024-02-23,2024-04-12,2024-04-13,2024-04-19,2024-04-20,2024-04-20,639,95,16,0.35,0.65,0.0,0.63,0.0,0.6666666666666666,0.15789473684210525,0.3333333333333333,0.031578947368421054,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4105263157894737,0.0,0.5894736842105263,0.23920953287753519,0.6713971893699455,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005178947368421054,0.6947368421052632,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5894736842105263,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2480600645269475,0.6888624466488191,0.640625,0.0,0.0
8,f5,2024-02-23,2024-04-15,2024-04-16,2024-04-22,2024-04-23,2024-04-23,686,91,15,0.8,0.2,0.0,0.62,0.0,0.7857142857142857,0.15384615384615385,0.6666666666666666,0.06593406593406594,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.43956043956043955,0.0,0.6153846153846154,0.2376433211445289,0.6681538316675757,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00489010989010989,0.7032967032967034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6153846153846154,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2742715135044768,0.7428849114322913,0.58,0.5,0.13333333333333333
9,f5,2024-02-23,2024-04-18,2024-04-19,2024-04-25,2024-04-26,2024-04-26,720,97,14,0.35,0.65,0.0,0.57,0.0,0.6444444444444445,0.4639175257731959,0.6756756756756757,0.38144329896907214,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4329896907216495,0.0,0.5670103092783505,0.2442145315201065,0.6815207986686986,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004773195876288661,0.7216494845360825,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5670103092783505,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.6428571428571429,0.23121113166817828,0.6552039214125589,0.6888888888888889,1.0,0.14285714285714285
