split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
0,full_game,2024-02-23,2024-03-21,2024-03-22,2024-03-29,2024-03-30,2024-03-30,374,87,15,0.65,0.35,0.0,0.55,0.0,0.631578947368421,0.21839080459770116,0.7,0.11494252873563218,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,24.0,0.47126436781609193,0.0,0.5977011494252874,0.24726382963742158,0.6876551320282382,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004632183908045978,0.7011494252873564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5977011494252874,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.23688727870647358,0.6668464758201311,0.5227272727272727,1.0,0.06666666666666667
1,full_game,2024-02-23,2024-03-24,2024-03-25,2024-04-01,2024-04-02,2024-04-02,418,87,13,1.0,0.0,0.0,0.61,0.0,0.6538461538461539,0.2988505747126437,0.8333333333333334,0.13793103448275862,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.40229885057471265,0.0,0.5977011494252874,0.23941534728586394,0.6717391376721188,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004436781609195403,0.7011494252873564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5977011494252874,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,0.26499861577354944,0.7235302249753199,0.38095238095238093,1.0,0.07692307692307693
2,full_game,2024-02-23,2024-03-28,2024-03-29,2024-04-04,2024-04-05,2024-04-05,451,86,13,0.0,1.0,0.0,0.57,0.0,0.6875,0.5581395348837209,0.6857142857142857,0.4069767441860465,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.4186046511627907,0.0,0.5813953488372093,0.23957330376111238,0.6720215229826728,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004337209302325581,0.7209302325581395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5813953488372093,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.3000041439033119,0.7956084476456078,0.15,0.16666666666666666,0.46153846153846156
3,full_game,2024-02-23,2024-03-31,2024-04-01,2024-04-07,2024-04-08,2024-04-08,491,88,13,1.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,8.0,0.5113636363636364,0.0,0.5454545454545454,0.2497058878980494,0.6925593221505039,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00425,0.6818181818181818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5454545454545454,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.6153846153846154,0.24692908842165726,0.6870009917201638,0.6,0.0,0.0
4,full_game,2024-02-23,2024-04-03,2024-04-04,2024-04-10,2024-04-11,2024-04-11,531,89,5,1.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5168539325842697,0.0,0.5168539325842697,0.24962560796919248,0.6923977420573023,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004741573033707865,0.6741573033707865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5168539325842697,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2519932054633731,0.6971307426690274,0.6666666666666667,0.0,0.0
5,full_game,2024-02-23,2024-04-06,2024-04-07,2024-04-13,2024-04-14,2024-04-14,565,91,15,0.0,1.0,0.0,0.55,0.0,0.6046511627906976,0.4725274725274725,0.4444444444444444,0.1978021978021978,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.45054945054945056,0.0,0.5494505494505495,0.24751218974676045,0.6881628695334553,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004835164835164836,0.7032967032967034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5494505494505495,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26854371058855125,0.7303624474189834,0.62,0.3333333333333333,0.2
6,full_game,2024-02-23,2024-04-09,2024-04-10,2024-04-16,2024-04-17,2024-04-17,607,93,16,1.0,0.0,0.0,0.54,0.0,0.5714285714285714,0.15053763440860216,0.75,0.043010752688172046,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,24.0,0.4838709677419355,0.0,0.5913978494623656,0.24809089127327613,0.6893286557100425,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005645161290322581,0.7419354838709677,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5913978494623656,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5625,0.5625,0.25101721610392097,0.6951827345166044,0.453125,0.0,0.0
7,full_game,2024-02-23,2024-04-12,2024-04-13,2024-04-19,2024-04-20,2024-04-20,639,95,16,1.0,0.0,0.0,0.54,0.0,0.6,0.05263157894736842,0.6666666666666666,0.031578947368421054,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,8.0,0.5157894736842106,0.0,0.5578947368421052,0.24853250077505704,0.690203760965713,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0046315789473684215,0.6736842105263158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5578947368421052,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5625,0.5625,0.24725662080002728,0.6876376635560337,0.65625,0.0,0.0
8,full_game,2024-02-23,2024-04-15,2024-04-16,2024-04-22,2024-04-23,2024-04-23,686,91,15,1.0,0.0,0.0,0.54,0.0,0.4,0.054945054945054944,0.0,0.0,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5274725274725275,-0.02,0.5824175824175825,0.24906425761273257,0.6912752031384646,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004296703296703297,0.6593406593406593,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5824175824175825,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.24908720632296324,0.6913219904653639,0.18181818181818182,0.0,0.0
9,full_game,2024-02-23,2024-04-18,2024-04-19,2024-04-25,2024-04-26,2024-04-26,720,97,14,0.0,1.0,0.0,0.56,0.0,0.5789473684210527,0.1958762886597938,0.6153846153846154,0.13402061855670103,0,0.0,0.05,0.0,0,global_acc050_brier_soft|thr_accuracy_cov,global_lr,none,0.0,0.5463917525773195,0.0,0.5463917525773195,0.24755269018936893,0.6882423535367688,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.004793814432989691,0.6907216494845361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5463917525773195,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.26102764608648815,0.715307398947411,0.3958333333333333,0.0,0.0
