split_id,market_key,train_start,train_end,calib_start,calib_end,test_start,test_end,train_rows,calib_rows,test_rows,ensemble_xgb_weight,ensemble_lgbm_weight,ensemble_rf_weight,publish_threshold,prob_shrink,calib_accuracy,calib_coverage,published_calib_accuracy,published_calib_coverage,used_fallback,fallback_penalty,missing_pitcher_penalty,missing_pitchers_rate_calib,regime_calibrators,selection_objective,calibrator_mode,stacking_mode,bayes_strength,bayes_prior,prob_shift,global_selection_accuracy,global_selection_brier,global_selection_logloss,threshold_objective,calib_roi_per_bet,calib_total_return_units,calib_priced_rows,calib_priced_coverage,calib_mean_ev_edge,roi_min_edge,meta_gate_enabled,meta_gate_threshold,meta_gate_base_accuracy,meta_gate_final_accuracy,meta_gate_base_coverage,meta_gate_final_coverage,momentum_penalty_mean_calib,momentum_penalty_active_rate_calib,vol_norm_enabled,vol_norm_alpha,vol_norm_threshold_bonus_cap,vol_norm_mean_calib,vol_norm_high_rate_calib,vol_norm_threshold_bonus_mean_calib,vol_norm_mean_test,vol_norm_high_rate_test,vol_decision_enabled,vol_decision_beta,vol_decision_center,vol_decision_max_shift,vol_decision_acc_calib,vol_decision_mean_test_threshold,reliability_enabled,reliability_mean_calib,reliability_low_rate_calib,reliability_conflict_rate_calib,reliability_side_shift_mean_calib,reliability_mean_test,reliability_low_rate_test,reliability_conflict_rate_test,reliability_side_shift_mean_test,missing_pitchers_rate_test,test_accuracy_at_050,test_accuracy_dynamic_decision,test_brier,test_logloss,test_auc,published_test_accuracy,published_test_coverage
0,yrfi,2024-02-23,2024-03-21,2024-03-22,2024-03-29,2024-03-30,2024-03-30,374,87,15,0.8,0.2,0.0,0.55,0.06,0.6666666666666666,0.3448275862068966,0.875,0.09195402298850575,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4482758620689655,0.0,0.5517241379310345,0.24707440852274096,0.687278424516731,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.006505747126436782,0.5747126436781609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5517241379310345,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.24176294843316823,0.6766134100369475,0.6296296296296297,1.0,0.06666666666666667
1,yrfi,2024-02-23,2024-03-24,2024-03-25,2024-04-01,2024-04-02,2024-04-02,418,87,13,0.5,0.5,0.0,0.55,0.06,0.0,0.0,0.0,0.0,1,0.02,0.08,0.0,0,fallback_default,global_lr,none,0.0,0.4942528735632184,0.0,0.0,0.0,0.0,fallback_default,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.6153846153846154,0.24865558415313413,0.6904582247201136,0.875,0.0,0.0
2,yrfi,2024-02-23,2024-03-28,2024-03-29,2024-04-04,2024-04-05,2024-04-05,451,86,13,0.35,0.65,0.0,0.55,0.06,0.5512820512820513,0.9069767441860465,0.6136363636363636,0.5116279069767442,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4418604651162791,0.0,0.5581395348837209,0.24654225969463828,0.6862137866646417,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0057674418604651174,0.5465116279069767,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5581395348837209,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,0.2485023437779257,0.6901474059179866,0.5476190476190477,0.3333333333333333,0.23076923076923078
3,yrfi,2024-02-23,2024-03-31,2024-04-01,2024-04-07,2024-04-08,2024-04-08,491,88,13,0.5,0.5,0.0,0.6,0.06,0.6521739130434783,0.26136363636363635,0.875,0.09090909090909091,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.3977272727272727,0.0,0.6022727272727273,0.239311408479076,0.671603367292792,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.006386363636363637,0.6136363636363636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.6022727272727273,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,0.2543024865066893,0.7021507343447106,0.35714285714285715,0.5,0.15384615384615385
4,yrfi,2024-02-23,2024-04-03,2024-04-04,2024-04-10,2024-04-11,2024-04-11,531,89,5,0.8,0.2,0.0,0.55,0.06,0.5,0.0898876404494382,0.5,0.02247191011235955,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.449438202247191,0.0,0.550561797752809,0.24740674028781504,0.6879514766658763,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.008022471910112359,0.6404494382022472,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.550561797752809,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.261869192720125,0.7169655732194449,0.8333333333333333,1.0,0.2
5,yrfi,2024-02-23,2024-04-06,2024-04-07,2024-04-13,2024-04-14,2024-04-14,565,91,15,0.2,0.8,0.0,0.56,0.06,0.7222222222222222,0.1978021978021978,0.7647058823529411,0.18681318681318682,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5494505494505495,0.0,0.5494505494505495,0.24538901689731946,0.6838611322641063,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016263736263736265,0.4065934065934066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5494505494505495,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2577317635862427,0.7086803360192611,0.6296296296296295,0.4,0.3333333333333333
6,yrfi,2024-02-23,2024-04-09,2024-04-10,2024-04-16,2024-04-17,2024-04-17,607,93,16,0.35,0.65,0.0,0.55,0.06,1.0,0.010752688172043012,0.0,0.0,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4838709677419355,0.0,0.5591397849462365,0.24707094976386534,0.6872800676319404,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0072688172043010755,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5591397849462365,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.4375,0.24955771626955833,0.692277141707432,0.6031746031746033,0.0,0.0
7,yrfi,2024-02-23,2024-04-12,2024-04-13,2024-04-19,2024-04-20,2024-04-20,639,95,16,0.65,0.35,0.0,0.55,0.06,0.5,0.021052631578947368,0.0,0.0,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.4631578947368421,0.0,0.5368421052631579,0.24800285231023525,0.6891440415708249,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0076210526315789485,0.6210526315789474,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5368421052631579,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.4375,0.2572942543527209,0.7077632425539746,0.34920634920634924,1.0,0.0625
8,yrfi,2024-02-23,2024-04-15,2024-04-16,2024-04-22,2024-04-23,2024-04-23,686,91,15,0.35,0.65,0.0,0.56,0.06,0.6521739130434783,0.25274725274725274,0.5,0.08791208791208792,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.43956043956043955,0.0,0.5604395604395604,0.24609041256516015,0.6852995779642349,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0072747252747252765,0.6043956043956044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5604395604395604,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2619000406657235,0.7170161795831772,0.8148148148148149,0.6666666666666666,0.2
9,yrfi,2024-02-23,2024-04-18,2024-04-19,2024-04-25,2024-04-26,2024-04-26,720,97,14,0.5,0.5,0.0,0.55,0.06,0.5,0.020618556701030927,0.0,0.0,0,0.0,0.08,0.0,0,publish_quality,global_lr,none,0.0,0.5360824742268041,0.0,0.5360824742268041,0.24817073651819888,0.6894848001275381,accuracy_cov,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016082474226804127,0.4020618556701031,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5360824742268041,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2532839883348911,0.6997468839213824,0.3469387755102041,0.0,0.0
