market,game_conf_bucket,picks,accuracy,q1_conf_bucket
FULL GAME,50-54.9,118,0.5338983050847458,
FULL GAME,55-59.9,118,0.5338983050847458,
FULL GAME,60-64.9,95,0.5473684210526316,
FULL GAME,65-69.9,92,0.6086956521739131,
FULL GAME,70-74.9,82,0.7073170731707317,
FULL GAME,75-79.9,86,0.7558139534883721,
FULL GAME,80+,146,0.7534246575342466,
PRIMER CUARTO,,223,0.47085201793721976,50-54.9
PRIMER CUARTO,,184,0.5434782608695652,55-59.9
PRIMER CUARTO,,162,0.48148148148148145,60-64.9
PRIMER CUARTO,,89,0.6292134831460674,65-69.9
PRIMER CUARTO,,45,0.6666666666666666,70-74.9
PRIMER CUARTO,,29,0.7586206896551724,75-79.9
PRIMER CUARTO,,5,0.4,80+
