market,game_conf_bucket,picks,accuracy,q1_conf_bucket
FULL GAME,50-54.9,112,0.5625,
FULL GAME,55-59.9,120,0.5083333333333333,
FULL GAME,60-64.9,115,0.6173913043478261,
FULL GAME,65-69.9,121,0.6033057851239669,
FULL GAME,70-74.9,106,0.6509433962264151,
FULL GAME,75-79.9,90,0.7666666666666667,
FULL GAME,80+,65,0.7384615384615385,
PRIMER CUARTO,,535,0.47289719626168225,50-54.9
PRIMER CUARTO,,194,0.5876288659793815,55-59.9
PRIMER CUARTO,,0,,60-64.9
PRIMER CUARTO,,0,,65-69.9
PRIMER CUARTO,,0,,70-74.9
PRIMER CUARTO,,0,,75-79.9
PRIMER CUARTO,,0,,80+
