market,threshold,n_picks,accuracy
FULL GAME,50,751,0.5499334221038615
FULL GAME,52,694,0.5547550432276657
FULL GAME,55,618,0.5598705501618123
FULL GAME,57,565,0.5628318584070796
FULL GAME,60,480,0.5666666666666667
FULL GAME,62,419,0.5775656324582339
FULL GAME,65,359,0.5905292479108635
FULL GAME,70,254,0.6338582677165354
PRIMER CUARTO,50,751,0.511318242343542
PRIMER CUARTO,52,723,0.5076071922544951
PRIMER CUARTO,55,672,0.5178571428571429
PRIMER CUARTO,57,627,0.5215311004784688
PRIMER CUARTO,60,554,0.5270758122743683
PRIMER CUARTO,62,498,0.5341365461847389
PRIMER CUARTO,65,414,0.5483091787439613
PRIMER CUARTO,70,266,0.6052631578947368
