market,threshold,n_picks,accuracy
FULL GAME,50,729,0.6227709190672154
FULL GAME,52,690,0.6275362318840579
FULL GAME,55,617,0.6337115072933549
FULL GAME,57,562,0.6512455516014235
FULL GAME,60,497,0.6639839034205232
FULL GAME,62,452,0.668141592920354
FULL GAME,65,382,0.6780104712041884
FULL GAME,70,261,0.7126436781609196
PRIMER CUARTO,50,729,0.5034293552812071
PRIMER CUARTO,52,564,0.5159574468085106
PRIMER CUARTO,55,194,0.5876288659793815
PRIMER CUARTO,57,38,0.7105263157894737
PRIMER CUARTO,60,0,
PRIMER CUARTO,62,0,
PRIMER CUARTO,65,0,
PRIMER CUARTO,70,0,
