sport,market,picks,hits,accuracy,brier,logloss,priced_picks,priced_coverage_pct,total_return_units,roi_per_bet,yield_pct,max_drawdown_units,suspicious_high_accuracy
nba,full_game,1024,660,0.64453125,0.22208069238281233,0.6352532395113146,0,0.0,0.0,,,,False
nba,q1,1024,523,0.5107421875,0.25604983886718763,0.7071308395978536,0,0.0,0.0,,,,False
mlb,full_game,5519,3949,0.7155281753940931,0.18214421090776953,0.5485080583785307,0,0.0,0.0,,,,False
mlb,q1,5519,4837,0.8764268889291539,0.12116118862112575,0.4112711114715939,0,0.0,0.0,,,,True
mlb,spread,5519,3949,0.7155281753940931,,,0,0.0,0.0,,,,False
mlb,f5,5519,3749,0.6792897263997101,0.19451632542126907,0.5747150442115785,0,0.0,0.0,,,,False
kbo,full_game,1597,1408,0.8816530995616781,0.08913487789605498,0.31351751977573394,0,0.0,0.0,,,,True
kbo,q1,1597,1053,0.6593613024420789,0.24822398246712588,0.7110021457818925,0,0.0,0.0,,,,False
kbo,spread,1597,1408,0.8816530995616781,,,0,0.0,0.0,,,,True
kbo,f5,1597,143,0.08954289292423294,0.5731743268628684,1.6375862401790944,0,0.0,0.0,,,,False
nhl,full_game,263,49,0.18631178707224336,0.16926045627376415,0.4974362211148431,19,0.07224334600760456,-19.0,-1.0,-100.0,19.0,False
nhl,total_goals_55,263,261,0.9923954372623575,0.028530038022813682,0.15525403189280237,21,0.07984790874524715,19.18077015943439,0.9133700075921137,91.33700075921138,0.0,True
liga_mx,full_game,430,393,0.913953488372093,0.055401627906976746,0.19291656628822185,0,0.0,0.0,,,,True
liga_mx,total,430,393,0.913953488372093,,,0,0.0,0.0,,,,True
liga_mx,btts,430,398,0.9255813953488372,,,0,0.0,0.0,,,,True
liga_mx,corners,430,229,0.5325581395348837,,,0,0.0,0.0,,,,False
laliga,full_game,465,419,0.9010752688172043,0.06541483870968388,0.22214047441613527,0,0.0,0.0,,,,True
laliga,total,465,424,0.9118279569892473,,,0,0.0,0.0,,,,True
laliga,btts,465,426,0.9161290322580645,,,0,0.0,0.0,,,,True
laliga,corners,465,354,0.7612903225806451,,,0,0.0,0.0,,,,False
euroleague,full_game,304,179,0.5888157894736842,0.27224854934212833,0.8944984627501656,0,0.0,0.0,,,,False
euroleague,q1,304,151,0.4967105263157895,0.2940501315789472,0.8389092111393609,0,0.0,0.0,,,,False
ncaa_baseball,full_game,2062,1836,0.8903976721629486,0.11272740058195918,0.38299070293803245,0,0.0,0.0,,,,True
ncaa_baseball,q1,2062,2062,1.0,1.0000000000575252e-12,1.0000005000291253e-06,0,0.0,0.0,,,,True
ncaa_baseball,spread,2062,1835,0.8899127061105723,,,0,0.0,0.0,,,,True
ncaa_baseball,f5,2062,0,0.0,0.9999980000009691,13.815510557935356,0,0.0,0.0,,,,False
